date_obj,Guthix%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20913
2019-04-12,21893
2019-04-13,22938
2019-04-14,24047
2019-04-15,500000
2019-04-16,500000
2019-04-17,500000
2019-04-18,520773
2019-04-19,520773
2019-04-20,544634
2019-04-21,544634
2019-04-22,569839
2019-04-23,569839
2019-04-24,595592
2019-04-25,622532
2019-04-26,622532
2019-04-27,650995
2019-04-28,650995
2019-04-29,680614
2019-04-30,680614
2019-05-01,711516
2019-05-02,711516
2019-05-03,744667
2019-05-04,744667
2019-05-05,778990
2019-05-06,778990
2019-05-07,778990
2019-05-08,810478
2019-05-09,810478
2019-05-10,810478
2019-05-11,831039
2019-05-12,831039
2019-05-13,831039
2019-05-14,849560
2019-05-15,849560
2019-05-16,849560
2019-05-17,849560
2019-05-18,881121
2019-05-19,881121
2019-05-20,881121
2019-05-21,881121
2019-05-22,900973
2019-05-23,900973
2019-05-24,900973
2019-05-25,893040
2019-05-26,893040
2019-05-27,893040
2019-05-28,875765
2019-05-29,875765
2019-05-30,875765
2019-05-31,842155
2019-06-01,842155
2019-06-02,842155
2019-06-03,832364
2019-06-04,832364
2019-06-05,841905
2019-06-06,841905
2019-06-07,841905
2019-06-08,839732
2019-06-09,839732
2019-06-10,839732
2019-06-11,834638
2019-06-12,834638
2019-06-13,834638
2019-06-14,814404
2019-06-15,814404
2019-06-16,814404
2019-06-17,809618
2019-06-18,809618
2019-06-19,809618
2019-06-20,806052
2019-06-21,806052
2019-06-22,806052
2019-06-23,791814
2019-06-24,791814
2019-06-25,791814
2019-06-26,754285
2019-06-27,754285
2019-06-28,754285
2019-06-29,723034
2019-06-30,723034
2019-07-01,723034
2019-07-02,702911
2019-07-03,702911
2019-07-04,702911
2019-07-05,676175
2019-07-06,676175
2019-07-07,676175
2019-07-08,674534
2019-07-09,674534
2019-07-10,674534
2019-07-11,655393
2019-07-12,655393
2019-07-13,655393
2019-07-14,639267
2019-07-15,639267
2019-07-16,639267
2019-07-17,643311
2019-07-18,643311
2019-07-19,643311
2019-07-20,655097
2019-07-21,655097
2019-07-22,655097
2019-07-23,671189
2019-07-24,671189
2019-07-25,671189
2019-07-26,671189
2019-07-27,664689
2019-07-28,664689
2019-07-29,664689
2019-07-30,662286
2019-07-31,662286
2019-08-01,662286
2019-08-02,667558
2019-08-03,667558
2019-08-04,667558
2019-08-05,678265
2019-08-06,678265
2019-08-07,678265
2019-08-08,682896
2019-08-09,682896
2019-08-10,682896
2019-08-11,675998
2019-08-12,675998
2019-08-13,675998
2019-08-14,687257
2019-08-15,687257
2019-08-16,687257
2019-08-17,684074
2019-08-18,684074
2019-08-19,684074
2019-08-20,686005
2019-08-21,686005
2019-08-22,702377
2019-08-23,702377
2019-08-24,702377
2019-08-24,702377
2019-08-25,702377
2019-08-25,702377
2019-08-26,725844
2019-08-26,725844
2019-08-27,725844
2019-08-27,725844
2019-08-28,725844
2019-08-29,736390
2019-08-30,736390
2019-08-31,736390
2019-09-01,738569
2019-09-02,738569
2019-09-03,738569
2019-09-04,741555
2019-09-05,741555
2019-09-06,741555
2019-09-07,727320
2019-09-08,727320
2019-09-09,727320
2019-09-10,727320
2019-09-11,724514
2019-09-12,724514
2019-09-13,724514
2019-09-14,734717
2019-09-15,734717
2019-09-16,734717
2019-09-17,732856
2019-09-18,732856
2019-09-19,732856
2019-09-20,732856
2019-09-21,736490
2019-09-22,736490
2019-09-23,736490
2019-09-24,736490
2019-09-25,728438
2019-09-26,728438
2019-09-27,728438
2019-09-28,728438
2019-09-29,705031
2019-09-30,705031
2019-10-01,705031
2019-10-02,683179
2019-10-03,683179
2019-10-04,683179
2019-10-05,666014
2019-10-06,666014
2019-10-07,666014
2019-10-08,652855
2019-10-09,652855
2019-10-10,652855
2019-10-11,652855
2019-10-12,638014
2019-10-13,638014
2019-10-14,617444
2019-10-15,617444
2019-10-16,617444
2019-10-17,617444
2019-10-18,587677
2019-10-19,587677
2019-10-20,587677
2019-10-21,558434
2019-10-22,558434
2019-10-23,558434
2019-10-24,534994
2019-10-25,534994
2019-10-26,534994
2019-10-27,510654
2019-10-28,510654
2019-10-29,510654
2019-10-30,510654
2019-10-31,495478
2019-11-01,495478
2019-11-02,495478
2019-11-03,480913
2019-11-04,480913
2019-11-05,480913
2019-11-06,470989
2019-11-07,470989
2019-11-08,470989
2019-11-09,453827
2019-11-10,453827
2019-11-11,453827
2019-11-12,434825
2019-11-13,434825
2019-11-14,434825
2019-11-15,421062
2019-11-16,421062
2019-11-17,421062
2019-11-18,405393
2019-11-19,405393
2019-11-20,405393
2019-11-21,391271
2019-11-22,391271
2019-11-23,391271
2019-11-24,374582
2019-11-25,374582
2019-11-26,374582
2019-11-27,364074
2019-11-28,364074
2019-11-29,364074
2019-11-30,362945
2019-12-01,362945
2019-12-02,362945
2019-12-03,367893
2019-12-04,367893
2019-12-05,367893
2019-12-06,383729
2019-12-07,383729
2019-12-08,383729
2019-12-09,395914
