date_obj,Saradomin%20robe%20legs price
2015-03-26,72811
2015-03-27,72811
2015-03-28,70685
2015-03-29,69349
2015-03-30,67856
2015-03-31,65867
2015-04-01,63038
2015-04-02,62544
2015-04-03,60724
2015-04-04,59432
2015-04-05,59149
2015-04-06,58773
2015-04-07,58008
2015-04-08,57552
2015-04-09,56775
2015-04-10,56426
2015-04-11,56576
2015-04-12,56705
2015-04-13,56640
2015-04-14,57295
2015-04-15,56851
2015-04-16,57291
2015-04-17,56591
2015-04-18,56294
2015-04-19,55364
2015-04-20,54700
2015-04-21,54696
2015-04-22,55186
2015-04-23,54073
2015-04-24,54473
2015-04-25,55152
2015-04-26,55725
2015-04-27,55928
2015-04-28,56362
2015-04-29,56362
2015-04-30,56922
2015-05-01,57070
2015-05-02,56696
2015-05-03,56696
2015-05-04,56431
2015-05-05,56479
2015-05-06,56237
2015-05-07,55909
2015-05-08,55708
2015-05-09,55681
2015-05-10,56001
2015-05-11,56001
2015-05-12,55848
2015-05-13,56603
2015-05-14,57591
2015-05-15,60182
2015-05-16,60182
2015-05-17,62216
2015-05-18,64190
2015-05-19,62923
2015-05-20,62923
2015-05-21,62624
2015-05-22,62772
2015-05-23,62258
2015-05-24,62203
2015-05-25,63470
2015-05-26,64140
2015-05-27,66009
2015-05-28,68458
2015-05-29,70785
2015-05-30,73527
2015-05-31,76531
2015-06-01,80182
2015-06-02,80182
2015-06-03,82730
2015-06-04,83589
2015-06-05,85388
2015-06-06,86365
2015-06-07,87143
2015-06-08,88236
2015-06-09,88692
2015-06-10,89908
2015-06-11,89908
2015-06-12,90352
2015-06-13,90369
2015-06-14,93222
2015-06-15,93939
2015-06-16,94450
2015-06-17,94450
2015-06-18,95690
2015-06-19,95690
2015-06-20,96216
2015-06-21,96620
2015-06-22,96658
2015-06-23,99243
2015-06-24,99982
2015-06-25,99982
2015-06-26,98567
2015-06-27,98567
2015-06-28,95860
2015-06-29,93697
2015-06-30,92432
2015-07-01,95929
2015-07-02,95929
2015-07-03,96189
2015-07-04,98494
2015-07-05,98494
2015-07-06,96623
2015-07-07,97393
2015-07-08,98217
2015-07-09,98217
2015-07-10,98783
