date_obj,3rd%20age%20platelegs price
2015-03-26,105664164
2015-03-27,105664164
2015-03-28,105664164
2015-03-29,104303654
2015-03-30,104303654
2015-03-31,104303654
2015-04-01,104303654
2015-04-02,104303654
2015-04-03,104303654
2015-04-04,104065662
2015-04-05,104065662
2015-04-06,104065662
2015-04-07,104065662
2015-04-08,104065662
2015-04-09,104065662
2015-04-10,101717993
2015-04-11,101717993
2015-04-12,101717993
2015-04-13,101717993
2015-04-14,101717993
2015-04-15,101717993
2015-04-16,97102519
2015-04-17,97102519
2015-04-18,97102519
2015-04-19,97102519
2015-04-20,95024851
2015-04-21,95024851
2015-04-22,95024851
2015-04-23,95024851
2015-04-24,95024851
2015-04-25,93304466
2015-04-26,93304466
2015-04-27,93304466
2015-04-28,93304466
2015-04-29,93304466
2015-04-30,88653097
2015-05-01,88653097
2015-05-02,88653097
2015-05-03,88653097
2015-05-04,86368292
2015-05-05,86368292
2015-05-06,86368292
2015-05-07,86368292
2015-05-08,88600712
2015-05-09,88600712
2015-05-10,88600712
2015-05-11,88600712
2015-05-12,91988524
2015-05-13,91988524
2015-05-14,91988524
2015-05-15,96015095
2015-05-16,96015095
2015-05-17,96015095
2015-05-18,96015095
2015-05-19,100532219
2015-05-20,100532219
2015-05-21,100532219
2015-05-22,100532219
2015-05-23,100532219
2015-05-24,104686022
2015-05-25,104686022
2015-05-26,104686022
2015-05-27,104686022
2015-05-28,104686022
2015-05-29,101633709
2015-05-30,101633709
2015-05-31,101633709
2015-06-01,104480382
2015-06-02,104480382
2015-06-03,104480382
2015-06-04,104480382
2015-06-05,109063121
2015-06-06,109063121
2015-06-07,109063121
2015-06-08,109063121
2015-06-09,110774219
2015-06-10,110774219
2015-06-11,110774219
2015-06-12,110774219
2015-06-13,112962375
2015-06-14,112962375
2015-06-15,112962375
2015-06-16,112962375
2015-06-17,112962375
2015-06-18,113374909
2015-06-19,113374909
2015-06-20,113374909
2015-06-21,113374909
2015-06-22,110670577
2015-06-23,110670577
2015-06-24,110670577
2015-06-25,110670577
2015-06-26,108266544
2015-06-27,108266544
2015-06-28,108266544
2015-06-29,108266544
2015-06-30,108266544
2015-07-01,107088335
2015-07-02,107088335
2015-07-03,107088335
2015-07-04,107088335
2015-07-05,109582196
2015-07-06,109582196
2015-07-07,109582196
2015-07-08,114263288
2015-07-09,114263288
2015-07-10,114263288
2015-07-11,114263288
2015-07-12,119222437
2015-07-13,119222437
2015-07-14,119222437
2015-07-15,119222437
2015-07-16,124735445
2015-07-17,124735445
2015-07-18,124735445
2015-07-19,124735445
2015-07-20,130511243
2015-07-21,130511243
2015-07-22,130511243
2015-07-23,130511243
2015-07-24,135035512
2015-07-25,135035512
2015-07-26,135035512
2015-07-27,135035512
2015-07-28,135291046
2015-07-29,135291046
2015-07-30,135291046
2015-07-31,135291046
2015-08-01,132476472
2015-08-02,132476472
2015-08-03,132476472
2015-08-04,132476472
2015-08-05,131163704
2015-08-06,131163704
2015-08-07,131163704
2015-08-08,131163704
2015-08-09,133081735
2015-08-10,133081735
2015-08-11,133081735
2015-08-12,138366871
2015-08-13,138366871
2015-08-14,138366871
2015-08-15,138366871
2015-08-16,139072408
2015-08-17,139072408
2015-08-18,139072408
2015-08-19,139072408
2015-08-20,139072408
2015-08-21,137493927
2015-08-22,137493927
2015-08-23,137493927
2015-08-24,137493927
2015-08-25,137493927
2015-08-26,136086840
2015-08-27,136086840
2015-08-28,136086840
2015-08-29,134290303
2015-08-30,134290303
2015-08-31,134290303
2015-09-01,134290303
2015-09-02,129372046
2015-09-03,129372046
2015-09-04,129372046
2015-09-05,129372046
2015-09-06,133747494
2015-09-07,133747494
2015-09-08,133747494
2015-09-09,136279113
2015-09-10,136279113
2015-09-11,136279113
2015-09-12,137747889
2015-09-13,137747889
2015-09-14,137747889
2015-09-15,141579391
2015-09-16,141579391
2015-09-17,141579391
2015-09-18,141579391
2015-09-19,142656442
2015-09-20,142656442
2015-09-21,142656442
2015-09-22,142656442
2015-09-23,146856914
2015-09-24,146856914
2015-09-25,146856914
2015-09-27,146241044
2015-09-28,146241044
2015-09-29,146241044
2015-09-30,146241044
2015-10-05,143669018
2015-10-06,143669018
2015-10-07,143669018
2015-10-08,144497720
2015-10-09,144497720
2015-10-10,144497720
2015-10-11,144497720
2015-10-12,150047182
2015-10-13,150047182
2015-10-14,150047182
2015-10-15,150047182
2015-10-16,150047182
2015-10-17,149915158
2015-10-18,149915158
2015-10-19,149915158
2015-10-20,149915158
2015-10-22,151376169
2015-10-23,151376169
2015-10-24,151376169
2015-10-25,154315035
2015-10-26,154315035
2015-10-27,154315035
2015-10-28,154315035
2015-10-29,154315035
2015-10-30,155751638
2015-10-31,155751638
2015-11-01,155751638
2015-11-02,155751638
2015-11-03,157757915
2015-11-04,157757915
2015-11-05,157757915
2015-11-06,157757915
2015-11-07,162614791
