date_obj,Mask%20of%20ranul price
2019-07-04,20000
2019-07-04,20000
2019-07-04,20996
2019-07-05,22001
2019-07-06,22001
2019-07-07,23102
2019-07-08,24223
2019-07-09,25285
2019-07-10,26449
2019-07-11,26449
2019-07-12,27772
2019-07-13,27772
2019-07-14,29161
2019-07-15,29161
2019-07-16,29161
2019-07-17,30567
2019-07-18,30567
2019-07-19,30567
2019-07-20,32070
2019-07-21,32070
2019-07-22,33601
2019-07-23,33601
2019-07-24,33601
2019-07-25,35220
2019-07-26,35220
2019-07-27,36877
2019-07-28,36877
2019-07-29,38632
2019-07-30,38632
2019-07-31,40504
2019-08-01,40504
2019-08-02,40504
2019-08-03,42464
2019-08-04,42464
2019-08-05,42464
2019-08-06,44242
2019-08-07,44242
2019-08-08,44242
2019-08-09,46375
2019-08-10,46375
2019-08-11,46375
2019-08-12,48596
2019-08-13,48596
2019-08-14,48596
2019-08-15,48596
2019-08-16,50897
2019-08-17,50897
2019-08-18,50897
2019-08-19,50897
2019-08-20,53308
2019-08-21,53308
2019-08-22,53308
2019-08-23,53308
2019-08-24,55127
2019-08-24,55127
2019-08-25,55127
2019-08-25,55127
2019-08-26,55127
2019-08-26,55127
2019-08-27,55127
2019-08-27,55127
2019-08-28,53592
2019-08-29,53592
2019-08-30,53592
2019-08-31,53592
2019-09-01,51066
2019-09-02,51066
2019-09-03,51066
2019-09-04,51066
2019-09-05,48677
2019-09-06,48677
2019-09-07,48677
2019-09-08,48677
2019-09-09,46522
2019-09-10,46522
2019-09-11,46522
2019-09-12,46522
2019-09-13,45456
2019-09-14,45456
2019-09-15,45456
2019-09-16,45456
2019-09-17,43842
2019-09-18,43842
2019-09-19,43842
2019-09-20,43842
2019-09-21,43842
2019-09-22,44093
2019-09-23,44093
2019-09-24,44093
2019-09-25,43806
2019-09-26,43806
2019-09-27,43806
2019-09-28,43806
2019-09-29,43806
2019-09-30,42479
2019-10-01,42479
2019-10-02,42479
2019-10-03,42479
2019-10-04,42479
2019-10-05,40455
2019-10-06,40455
2019-10-07,40455
2019-10-08,40455
2019-10-09,39089
2019-10-10,39089
2019-10-11,39089
2019-10-12,39089
2019-10-13,38342
2019-10-14,38342
2019-10-15,38342
2019-10-16,38342
2019-10-17,38342
2019-10-18,38555
2019-10-19,38555
2019-10-20,38555
2019-10-21,38555
2019-10-22,38555
2019-10-23,39036
2019-10-24,39036
2019-10-25,39036
2019-10-26,39036
2019-10-27,39036
2019-10-28,38412
2019-10-29,38412
2019-10-30,38412
2019-10-31,38412
2019-11-01,38412
2019-11-02,38412
2019-11-03,37490
2019-11-04,37490
2019-11-05,37490
2019-11-06,37490
2019-11-07,37490
2019-11-08,37490
2019-11-09,36452
2019-11-10,36452
2019-11-11,36452
2019-11-12,36452
2019-11-13,36452
2019-11-14,36452
2019-11-15,35914
2019-11-16,35914
2019-11-17,35914
2019-11-18,35914
2019-11-19,35914
2019-11-20,35914
2019-11-21,35914
2019-11-22,34834
2019-11-23,34834
2019-11-24,34834
2019-11-25,34834
2019-11-26,34834
2019-11-27,34834
2019-11-28,33778
2019-11-29,33778
2019-11-30,33778
2019-12-01,33778
2019-12-02,33778
2019-12-03,33778
2019-12-04,35292
2019-12-05,35292
2019-12-06,35292
2019-12-07,35292
2019-12-08,35292
2019-12-09,35292
2019-12-10,36974
2019-12-11,36974
2019-12-12,36974
2019-12-13,36974
2019-12-14,36974
2019-12-15,36974
2019-12-16,38558
2019-12-17,38558
2019-12-18,38558
2019-12-19,38558
2019-12-20,38558
2019-12-21,38558
2019-12-22,40365
2019-12-23,40365
2019-12-24,40365
2019-12-25,40365
2019-12-26,40365
2019-12-27,40365
2019-12-28,40365
2019-12-29,42105
2019-12-30,42105
2019-12-31,42105
2020-01-01,42105
2020-01-02,42105
2020-01-03,42105
2020-01-04,43984
2020-01-05,43984
2020-01-06,43984
2020-01-07,43984
2020-01-08,43984
2020-01-09,43984
2020-01-10,43293
2020-01-11,43293
2020-01-12,43293
2020-01-13,43293
2020-01-14,43293
2020-01-15,44271
2020-01-16,44271
2020-01-17,44271
2020-01-18,44271
2020-01-19,44271
2020-01-20,44271
2020-01-21,42290
2020-01-22,42290
2020-01-23,42290
2020-01-24,42290
2020-01-25,42290
2020-01-26,42290
2020-01-27,40488
2020-01-28,40488
2020-01-29,40488
2020-01-30,40488
2020-01-31,40488
2020-02-01,40488
2020-02-02,38751
2020-02-03,38751
2020-02-04,38751
2020-02-05,38751
2020-02-06,38751
2020-02-07,38751
2020-02-08,37202
2020-02-09,37202
2020-02-10,37202
2020-02-11,37202
2020-02-12,35653
2020-02-13,35653
2020-02-14,35653
2020-02-15,35653
2020-02-16,35653
2020-02-17,35653
2020-02-18,34936
2020-02-19,34936
2020-02-20,34936
2020-02-21,34936
2020-02-22,34936
2020-02-23,34739
2020-02-24,34739
2020-02-25,34739
2020-02-26,34739
2020-02-27,34739
2020-02-28,34345
2020-02-29,34345
2020-03-01,34345
2020-03-02,34345
2020-03-03,34345
2020-03-04,34345
2020-03-05,32710
2020-03-06,32710
2020-03-07,32710
2020-03-08,32710
2020-03-09,31185
2020-03-10,31185
2020-03-11,31185
2020-03-12,31185
2020-03-13,29743
2020-03-14,29743
2020-03-15,29743
2020-03-16,29743
2020-03-17,28345
2020-03-18,28345
2020-03-19,28345
2020-03-20,27020
2020-03-21,27020
2020-03-22,26814
2020-03-23,26814
2020-03-24,26814
2020-03-25,26554
2020-03-26,26554
2020-03-27,26554
2020-03-28,26554
2020-03-29,26388
2020-03-30,26388
2020-03-31,26388
2020-04-01,25211
2020-04-02,25211
2020-04-03,25211
2020-04-04,24038
2020-04-05,24038
2020-04-06,24038
2020-04-07,24038
2020-04-08,23338
2020-04-09,23338
2020-04-10,23338
2020-04-11,23338
2020-04-12,22508
2020-04-13,22508
2020-04-14,22508
2020-04-15,21770
2020-04-16,21770
2020-04-17,21770
2020-04-18,21770
