date_obj,Dragon%20bitter(m) price
2015-03-05,170
2015-03-06,170
2015-03-07,170
2015-03-08,170
2015-03-09,170
2015-03-10,170
2015-03-11,170
2015-03-12,170
2015-03-13,170
2015-03-14,170
2015-03-15,170
2015-03-16,170
2015-03-17,170
2015-03-18,170
2015-03-19,170
2015-03-20,170
2015-03-21,170
2015-03-22,170
2015-03-23,170
2015-03-24,170
2015-03-25,170
2015-03-26,170
2015-03-27,170
2015-03-28,170
2015-03-29,170
2015-03-30,170
2015-03-31,170
2015-04-01,170
2015-04-02,170
2015-04-03,170
2015-04-04,170
2015-04-05,170
2015-04-06,170
2015-04-07,170
2015-04-08,170
2015-04-09,170
2015-04-10,170
2015-04-11,170
2015-04-12,170
2015-04-13,170
2015-04-14,170
2015-04-15,170
2015-04-16,170
2015-04-17,170
2015-04-18,170
2015-04-19,170
2015-04-20,170
2015-04-21,170
2015-04-22,170
2015-04-23,170
2015-04-24,170
2015-04-25,170
2015-04-26,170
2015-04-27,170
2015-04-28,170
2015-04-29,170
2015-04-30,170
2015-05-01,170
2015-05-02,170
2015-05-03,170
2015-05-04,170
2015-05-05,170
2015-05-06,170
2015-05-07,170
2015-05-08,170
2015-05-09,170
2015-05-10,170
2015-05-11,170
2015-05-12,170
2015-05-13,170
2015-05-14,170
2015-05-15,170
2015-05-16,170
2015-05-17,170
2015-05-18,170
2015-05-19,170
2015-05-20,170
2015-05-21,170
2015-05-22,170
2015-05-23,170
2015-05-24,170
2015-05-25,170
2015-05-26,170
2015-05-27,170
2015-05-28,170
2015-05-29,170
2015-05-30,170
2015-05-31,170
2015-06-01,170
2015-06-02,170
2015-06-03,170
2015-06-04,170
2015-06-05,170
2015-06-06,170
2015-06-07,170
2015-06-08,170
2015-06-09,178
2015-06-10,178
2015-06-11,178
2015-06-12,178
2015-06-13,178
2015-06-14,178
2015-06-15,178
2015-06-16,178
2015-06-17,178
2015-06-18,178
2015-06-19,178
2015-06-20,178
2015-06-21,178
2015-06-22,178
2015-06-23,178
2015-06-24,178
2015-06-25,178
2015-06-26,178
2015-06-27,178
2015-06-28,178
2015-06-29,178
2015-06-30,178
2015-07-01,178
2015-07-02,178
2015-07-03,178
2015-07-04,178
2015-07-05,178
2015-07-06,178
2015-07-07,178
2015-07-08,178
2015-07-09,178
2015-07-10,178
2015-07-11,178
2015-07-12,178
2015-07-13,178
2015-07-14,178
2015-07-15,178
2015-07-16,178
2015-07-17,178
2015-07-18,178
2015-07-19,178
2015-07-20,178
2015-07-21,178
2015-07-22,178
2015-07-23,178
2015-07-24,178
2015-07-25,178
2015-07-26,178
2015-07-27,178
2015-07-28,178
2015-07-29,178
2015-07-30,178
2015-07-31,178
2015-08-01,178
2015-08-02,178
2015-08-03,178
2015-08-04,178
2015-08-05,178
2015-08-06,178
2015-08-07,178
2015-08-08,178
2015-08-09,178
2015-08-10,178
2015-08-11,178
2015-08-12,178
2015-08-13,178
2015-08-14,178
2015-08-15,178
2015-08-16,178
2015-08-17,178
2015-08-18,178
2015-08-19,178
2015-08-20,178
2015-08-21,178
2015-08-22,178
2015-08-23,178
2015-08-24,178
2015-08-25,178
2015-08-26,178
2015-08-27,178
2015-08-28,178
2015-08-29,178
2015-08-30,178
2015-08-31,178
2015-09-02,178
2015-09-07,178
2015-09-08,178
2015-09-10,178
2015-09-14,178
2015-09-16,178
2015-09-22,178
2015-09-23,178
2015-09-24,178
2015-09-25,178
2015-09-27,178
2015-09-28,178
2015-09-29,178
2015-09-30,178
2015-10-05,178
2015-10-06,178
2015-10-07,178
2015-10-08,178
2015-10-09,178
2015-10-10,178
2015-10-11,178
2015-10-12,178
2015-10-13,178
2015-10-14,178
2015-10-15,178
2015-10-16,178
2015-10-17,178
2015-10-18,178
2015-10-19,178
2015-10-20,178
2015-10-22,178
2015-10-23,178
2015-10-24,178
2015-10-25,178
2015-10-26,178
2015-10-27,178
2015-10-29,178
2015-10-30,178
2015-10-31,178
2015-11-01,178
2015-11-02,178
2015-11-03,178
2015-11-04,178
2015-11-05,178
2015-11-06,178
2015-11-07,178
2015-11-08,178
2015-11-09,178
2015-11-10,178
2015-11-11,178
2015-11-12,178
2015-11-13,178
2015-11-14,178
2015-11-15,178
2015-11-16,178
2015-11-17,178
2015-11-18,178
2015-11-19,178
2015-11-20,178
2015-11-21,178
2015-11-22,178
2015-11-23,178
2015-11-24,178
2015-11-25,178
2015-11-26,178
2015-11-27,178
2015-11-28,178
2015-11-29,178
2015-11-30,178
2015-12-01,178
2015-12-02,178
2015-12-03,178
2015-12-04,178
2015-12-05,178
2015-12-06,178
2015-12-07,178
2015-12-08,178
2015-12-09,178
2015-12-10,178
2015-12-11,178
2015-12-12,178
2015-12-13,178
2015-12-14,178
2015-12-15,178
2015-12-16,178
2015-12-17,178
2015-12-18,178
2015-12-19,178
2015-12-20,178
2015-12-21,178
2015-12-22,178
