date_obj,Dragonstone%20platebody price
2019-07-24,3000000
2019-07-25,3090436
2019-07-26,3203393
2019-07-27,3335878
2019-07-28,3468940
2019-07-29,3616136
2019-07-30,3756188
2019-07-31,3914888
2019-08-01,3914888
2019-08-02,4073883
2019-08-03,4250821
2019-08-04,4250821
2019-08-05,4434769
2019-08-06,4434769
2019-08-07,4616916
2019-08-08,4616916
2019-08-09,4816304
2019-08-10,4816304
2019-08-11,5011954
2019-08-12,5011954
2019-08-13,5209989
2019-08-14,5209989
2019-08-15,5415775
2019-08-16,5415775
2019-08-17,5638114
2019-08-18,5638114
2019-08-19,5877417
2019-08-20,5877417
2019-08-21,5877417
2019-08-22,6131768
2019-08-23,6131768
2019-08-24,6131768
2019-08-24,6131768
2019-08-25,6379119
2019-08-25,6379119
2019-08-26,6379119
2019-08-26,6379119
2019-08-27,6379119
2019-08-27,6379119
2019-08-28,6642970
2019-08-29,6642970
2019-08-30,6642970
2019-08-31,6930146
2019-09-01,6930146
2019-09-02,6930146
2019-09-03,7200007
2019-09-04,7200007
2019-09-05,7200007
2019-09-06,7519899
2019-09-07,7519899
2019-09-08,7519899
2019-09-09,7835517
2019-09-10,7835517
2019-09-11,7835517
2019-09-12,8142020
2019-09-13,8142020
2019-09-14,8142020
2019-09-15,8142020
2019-09-16,8467341
2019-09-17,8467341
2019-09-18,8467341
2019-09-19,8467341
2019-09-20,8467341
2019-09-21,8800915
2019-09-22,8800915
2019-09-23,8800915
2019-09-24,8800915
2019-09-25,8800915
2019-09-26,9155972
2019-09-27,9155972
2019-09-28,9155972
2019-09-29,9155972
2019-09-30,9155972
2019-10-01,9554700
2019-10-02,9554700
2019-10-03,9554700
2019-10-04,9554700
2019-10-05,9554700
2019-10-06,9554700
2019-10-07,9976640
2019-10-08,9976640
2019-10-09,9976640
2019-10-10,9976640
2019-10-11,9976640
2019-10-12,9976640
2019-10-13,10398661
2019-10-14,10398661
2019-10-15,10398661
2019-10-16,10398661
2019-10-17,10398661
2019-10-18,10398661
2019-10-19,10820411
2019-10-20,10820411
2019-10-21,10820411
2019-10-22,10820411
2019-10-23,10820411
2019-10-24,11151210
2019-10-25,11151210
2019-10-26,11151210
2019-10-27,11151210
2019-10-28,11512669
2019-10-29,11512669
2019-10-30,11512669
2019-10-31,11512669
2019-11-01,11512669
2019-11-02,11459489
2019-11-03,11459489
2019-11-04,11459489
2019-11-05,11459489
2019-11-06,11459489
2019-11-07,11043865
2019-11-08,11043865
2019-11-09,11043865
2019-11-10,11043865
2019-11-11,11043865
2019-11-12,10643155
2019-11-13,10643155
2019-11-14,10643155
2019-11-15,10643155
2019-11-16,10643155
2019-11-17,10282285
2019-11-18,10282285
2019-11-19,10282285
2019-11-20,10282285
2019-11-21,10282285
2019-11-22,9834251
2019-11-23,9834251
2019-11-24,9834251
2019-11-25,9834251
2019-11-26,9360861
2019-11-27,9360861
2019-11-28,9360861
2019-11-29,9360861
2019-11-30,8967827
2019-12-01,8967827
2019-12-02,8967827
2019-12-03,8586571
2019-12-04,8586571
2019-12-05,8586571
2019-12-06,8586571
2019-12-07,8222736
2019-12-08,8222736
2019-12-09,8222736
2019-12-10,7811599
2019-12-11,7811599
2019-12-12,7811599
2019-12-13,7453699
2019-12-14,7453699
2019-12-15,7453699
2019-12-16,7099959
2019-12-17,7099959
2019-12-18,7099959
2019-12-19,7099959
2019-12-20,6744961
2019-12-21,6744961
2019-12-22,6429066
2019-12-23,6429066
2019-12-24,6429066
2019-12-25,6107612
2019-12-26,6107612
2019-12-27,5828036
2019-12-28,5828036
2019-12-29,5828036
2019-12-30,5536634
2019-12-31,5536634
2020-01-01,5275456
2020-01-02,5275456
2020-01-03,5022246
2020-01-04,5022246
2020-01-05,4794285
2020-01-06,4794285
2020-01-07,4570865
2020-01-08,4570865
2020-01-09,4570865
2020-01-10,4357846
2020-01-11,4357846
2020-01-12,4139953
2020-01-13,4139953
2020-01-14,4139953
2020-01-15,3932955
2020-01-16,3932955
2020-01-17,3736307
2020-01-18,3736307
2020-01-19,3556868
2020-01-20,3556868
2020-01-21,3399281
2020-01-22,3243114
2020-01-23,3097302
2020-01-24,3097302
2020-01-25,3031010
2020-01-26,3031010
2020-01-27,2888748
2020-01-28,2888748
2020-01-29,2899724
2020-01-30,2899724
2020-01-31,2842987
2020-02-01,2842987
2020-02-02,2762341
2020-02-03,2762341
2020-02-04,2683986
2020-02-05,2683986
2020-02-06,2615745
2020-02-07,2615745
2020-02-08,2556233
2020-02-09,2556233
2020-02-10,2568011
2020-02-11,2568011
2020-02-12,2500325
2020-02-13,2500325
2020-02-14,2442182
2020-02-15,2442182
2020-02-16,2378431
2020-02-17,2378431
2020-02-18,2442216
2020-02-19,2442216
2020-02-20,2514907
2020-02-21,2514907
2020-02-22,2547686
2020-02-23,2547686
2020-02-24,2505187
2020-02-25,2505187
2020-02-26,2505187
2020-02-27,2469433
2020-02-28,2469433
2020-02-29,2464703
2020-03-01,2464703
2020-03-02,2368411
2020-03-03,2368411
2020-03-04,2368411
2020-03-05,2308758
2020-03-06,2308758
2020-03-07,2201945
2020-03-08,2201945
2020-03-09,2097104
2020-03-10,2097104
2020-03-11,2026107
2020-03-12,2026107
2020-03-13,1958110
2020-03-14,1958110
2020-03-15,1944900
2020-03-16,1944900
2020-03-17,2003250
2020-03-18,2003250
2020-03-19,2008323
2020-03-20,2008323
2020-03-21,1963939
