date_obj,Dragon%20bitter%20(flatpack) price
2017-03-07,109
2017-03-08,109
2017-03-09,109
2017-03-10,109
2017-03-11,109
2017-03-12,109
2017-03-13,109
2017-03-14,109
2017-03-15,109
2017-03-16,109
2017-03-17,109
2017-03-18,109
2017-03-19,109
2017-03-20,109
2017-03-21,109
2017-03-22,109
2017-03-23,109
2017-03-24,109
2017-03-25,109
2017-03-26,109
2017-03-27,109
2017-03-28,109
2017-03-29,109
2017-03-30,109
2017-03-31,109
2017-04-01,109
2017-04-02,109
2017-04-03,109
2017-04-04,109
2017-04-12,109
2017-04-13,109
2017-04-14,109
2017-04-15,109
2017-04-16,109
2017-04-17,109
2017-04-18,109
2017-04-19,109
2017-04-20,109
2017-04-21,109
2017-04-22,109
2017-04-23,109
2017-04-24,109
2017-04-25,109
2017-04-26,109
2017-04-27,109
2017-04-28,109
2017-04-29,114
2017-04-30,114
2017-05-01,114
2017-05-02,114
2017-05-03,114
2017-05-04,114
2017-05-05,114
2017-05-06,114
2017-05-07,114
2017-05-08,114
2017-05-09,114
2017-05-10,114
2017-05-11,114
2017-05-12,114
2017-05-13,114
2017-05-14,114
2017-05-15,114
2017-05-16,114
2017-05-17,114
2017-05-18,114
2017-05-19,114
2017-05-20,114
2017-05-21,114
2017-05-22,114
2017-05-23,114
2017-05-24,114
2017-05-25,114
2017-05-26,114
2017-05-27,114
2017-05-28,114
2017-05-29,114
2017-05-30,114
2017-05-31,114
2017-06-01,114
2017-06-02,114
2017-06-03,114
2017-06-04,114
2017-06-05,114
2017-06-06,114
2017-06-07,114
2017-06-08,114
2017-06-09,114
2017-06-10,114
2017-06-11,114
2017-06-12,114
2017-06-13,114
2017-06-14,114
2017-06-15,114
2017-06-16,114
2017-06-17,114
2017-06-18,114
2017-06-19,114
2017-06-20,114
2017-06-21,114
2017-06-22,114
2017-06-23,114
2017-06-24,114
2017-06-25,114
2017-06-26,114
2017-06-27,114
2017-06-28,114
2017-06-29,114
2017-06-30,114
2017-07-01,114
2017-07-02,114
2017-07-03,114
2017-07-04,114
2017-07-05,114
2017-07-06,114
2017-07-07,114
2017-07-08,114
2017-07-13,114
2017-07-14,114
2017-07-15,114
2017-07-16,114
2017-07-17,114
2017-07-18,114
2017-07-19,114
2017-07-20,114
2017-07-21,114
2017-07-22,114
2017-07-23,114
2017-07-24,114
2017-07-25,114
2017-07-26,114
2017-07-27,114
2017-07-28,114
2017-07-29,114
2017-07-30,114
2017-07-31,114
2017-08-01,114
2017-08-02,114
2017-08-03,114
2017-08-04,114
2017-08-05,114
2017-08-06,114
2017-08-09,114
2017-08-10,114
2017-08-11,114
2017-08-12,114
2017-08-13,114
2017-08-14,114
2017-08-15,114
2017-08-16,114
2017-08-17,114
2017-08-18,114
2017-08-19,114
2017-08-20,114
2017-08-21,114
2017-08-22,114
2017-08-23,114
2017-08-24,114
2017-08-25,114
2017-08-26,114
2017-08-27,114
2017-08-28,114
2017-08-29,114
2017-08-30,114
2017-08-31,114
2017-09-01,114
2017-09-03,114
2017-09-04,114
2017-09-05,114
2017-09-06,114
2017-09-07,114
2017-09-08,114
2017-09-09,114
2017-09-10,114
2017-09-11,114
2017-09-12,114
2017-09-13,114
2017-09-14,114
2017-09-15,114
2017-09-16,114
2017-09-17,114
2017-09-18,114
2017-09-19,114
2017-09-20,114
2017-09-21,114
2017-09-22,114
2017-09-23,114
2017-09-24,114
2017-09-25,114
2017-09-26,114
2017-09-27,114
2017-09-28,114
2017-09-29,114
2017-09-30,114
2017-10-01,114
2017-10-02,114
2017-10-03,114
2017-10-04,114
2017-10-05,114
2017-10-06,114
2017-10-07,114
2017-10-08,114
2017-10-09,114
2017-10-10,114
2017-10-11,114
2017-10-12,114
2017-10-13,114
2017-10-14,114
2017-10-15,114
2017-10-16,114
2017-10-17,114
2017-10-18,114
2017-10-19,114
2017-10-20,114
2017-10-21,114
2017-10-22,114
2017-10-23,114
2017-10-24,114
2017-10-25,114
2017-10-26,114
2017-10-27,114
2017-10-28,114
2017-10-29,114
2017-10-30,114
2017-10-31,114
2017-11-01,114
2017-11-02,114
2017-11-03,114
2017-11-04,114
2017-11-05,114
2017-11-06,114
2017-11-07,114
2017-11-08,114
2017-11-09,114
2017-11-10,114
2017-11-11,114
2017-11-12,114
2017-11-13,114
2017-11-14,114
2017-11-15,114
2017-11-16,114
2017-11-17,114
2017-11-18,114
2017-11-19,114
2017-11-20,114
2017-11-21,120
2017-11-22,120
2017-11-23,120
2017-11-24,120
2017-11-25,120
2017-11-26,120
2017-11-27,120
2017-11-28,120
2017-11-29,120
2017-11-30,120
2017-12-01,120
2017-12-02,120
2017-12-03,120
2017-12-04,120
2017-12-05,120
2017-12-06,120
2017-12-07,120
2017-12-08,120
2017-12-09,120
2017-12-10,120
2017-12-11,120
2017-12-12,120
2017-12-13,120
2017-12-14,120
2017-12-15,120
2017-12-16,120
2017-12-17,120
2017-12-18,120
2017-12-19,120
2017-12-20,120
2017-12-21,120
2017-12-22,120
2017-12-23,120
2017-12-24,120
2017-12-25,120
2017-12-26,120
2017-12-27,120
2017-12-28,120
2017-12-29,120
2017-12-30,120
2017-12-31,120
2018-01-01,120
2018-01-02,120
2018-01-03,120
2018-01-04,120
2018-01-05,120
2018-01-06,120
2018-01-07,120
2018-01-08,120
2018-01-09,120
2018-01-10,120
2018-01-11,120
2018-01-12,120
2018-01-13,120
