date_obj,Digsite%20teleport price
2015-03-26,1695
2015-03-27,1695
2015-03-28,1695
2015-03-29,1612
2015-03-30,1612
2015-03-31,1533
2015-04-01,1533
2015-04-02,1478
2015-04-03,1478
2015-04-04,1419
2015-04-05,1419
2015-04-06,1350
2015-04-07,1350
2015-04-08,1286
2015-04-09,1286
2015-04-10,1221
2015-04-11,1221
2015-04-12,1161
2015-04-13,1161
2015-04-14,1126
2015-04-15,1126
2015-04-16,1069
2015-04-17,1069
2015-04-18,1017
2015-04-19,1017
2015-04-20,974
2015-04-21,974
2015-04-22,949
2015-04-23,949
2015-04-24,916
2015-04-25,916
2015-04-26,897
2015-04-27,897
2015-04-28,881
2015-04-29,881
2015-04-30,848
2015-05-01,882
2015-05-02,882
2015-05-03,910
2015-05-04,910
2015-05-05,907
2015-05-06,907
2015-05-07,885
2015-05-08,885
2015-05-09,845
2015-05-10,845
2015-05-11,809
2015-05-12,818
2015-05-13,818
2015-05-14,859
2015-05-15,859
2015-05-16,868
2015-05-17,890
2015-05-18,890
2015-05-19,909
2015-05-20,909
2015-05-21,909
2015-05-22,922
2015-05-23,922
2015-05-24,881
2015-05-25,856
2015-05-26,856
2015-05-27,840
2015-05-28,840
2015-05-29,841
2015-05-30,828
2015-05-31,828
2015-06-01,796
2015-06-02,796
2015-06-03,771
2015-06-04,771
2015-06-05,742
2015-06-06,764
2015-06-07,764
2015-06-08,781
2015-06-09,777
2015-06-10,777
2015-06-11,768
2015-06-12,768
2015-06-13,751
2015-06-14,751
2015-06-15,733
2015-06-16,733
2015-06-17,713
2015-06-18,699
2015-06-19,699
2015-06-20,694
2015-06-21,694
2015-06-22,717
2015-06-23,717
2015-06-24,751
2015-06-25,751
2015-06-26,759
2015-06-27,759
2015-06-28,775
2015-06-29,775
2015-06-30,814
2015-07-01,814
2015-07-02,841
2015-07-03,826
2015-07-04,826
2015-07-05,806
2015-07-06,806
2015-07-07,781
2015-07-08,781
2015-07-09,776
2015-07-10,762
2015-07-11,762
2015-07-12,762
2015-07-13,762
2015-07-14,754
2015-07-15,754
2015-07-16,750
2015-07-17,750
2015-07-18,725
2015-07-19,725
2015-07-20,700
2015-07-21,700
2015-07-22,683
2015-07-23,683
2015-07-24,656
2015-07-25,656
2015-07-26,642
2015-07-27,642
2015-07-28,636
2015-07-29,622
2015-07-30,622
2015-07-31,599
2015-08-01,599
2015-08-02,588
2015-08-03,588
2015-08-04,610
2015-08-05,634
2015-08-06,634
2015-08-07,643
2015-08-08,647
2015-08-09,647
2015-08-10,679
2015-08-11,679
2015-08-12,690
2015-08-13,690
2015-08-14,667
2015-08-15,667
2015-08-16,669
2015-08-17,669
2015-08-18,665
2015-08-19,665
2015-08-20,659
2015-08-21,656
2015-08-22,656
2015-08-23,651
2015-08-24,651
2015-08-25,646
2015-08-26,646
2015-08-27,638
2015-08-28,638
2015-08-29,630
2015-08-30,630
2015-08-31,614
2015-09-01,614
2015-09-02,596
2015-09-03,596
2015-09-04,574
2015-09-05,574
2015-09-06,556
2015-09-07,556
2015-09-08,548
2015-09-09,548
2015-09-10,547
2015-09-11,547
2015-09-12,543
2015-09-13,543
2015-09-14,544
2015-09-15,542
2015-09-16,542
2015-09-17,541
2015-09-18,541
2015-09-19,548
2015-09-20,548
2015-09-21,568
2015-09-22,585
2015-09-23,580
2015-09-24,580
2015-09-25,579
2015-09-27,583
2015-09-28,583
2015-09-29,598
2015-09-30,598
2015-10-05,602
2015-10-06,617
2015-10-07,617
2015-10-08,640
2015-10-09,651
2015-10-10,651
2015-10-11,660
2015-10-12,660
2015-10-13,663
2015-10-14,663
2015-10-15,685
2015-10-16,714
2015-10-17,714
2015-10-18,750
2015-10-19,784
2015-10-20,790
2015-10-22,808
2015-10-23,835
2015-10-24,835
2015-10-25,877
2015-10-26,920
2015-10-27,920
2015-10-29,966
2015-10-30,1015
2015-10-31,1042
2015-11-01,1042
2015-11-02,1062
2015-11-03,1062
2015-11-04,1052
2015-11-05,1052
2015-11-06,1050
2015-11-07,1037
2015-11-08,1037
2015-11-09,1031
2015-11-10,1031
2015-11-11,1024
2015-11-12,1024
2015-11-13,1035
2015-11-14,1035
2015-11-15,1020
2015-11-16,1020
2015-11-17,1024
2015-11-18,1024
2015-11-19,1008
2015-11-20,1008
2015-11-21,1004
2015-11-22,988
2015-11-23,988
2015-11-24,984
2015-11-25,964
2015-11-26,964
2015-11-27,919
2015-11-28,919
2015-11-29,882
2015-11-30,883
2015-12-01,883
2015-12-02,879
2015-12-03,882
2015-12-04,882
2015-12-05,855
2015-12-06,835
2015-12-07,835
2015-12-08,836
2015-12-09,821
2015-12-10,821
2015-12-11,795
2015-12-12,795
2015-12-13,783
2015-12-14,783
2015-12-15,778
2015-12-16,779
2015-12-17,779
2015-12-18,763
2015-12-19,763
2015-12-20,745
2015-12-21,755
2015-12-22,793
2015-12-23,833
2015-12-24,833
