date_obj,Curry%20tree%20seed price
2015-03-05,2221
2015-03-06,2112
2015-03-07,2010
2015-03-08,1916
2015-03-09,1829
2015-03-10,1742
2015-03-11,1660
2015-03-12,1583
2015-03-13,1508
2015-03-14,1439
2015-03-15,1371
2015-03-16,1309
2015-03-17,1249
2015-03-18,1249
2015-03-19,1192
2015-03-20,1140
2015-03-21,1140
2015-03-22,1083
2015-03-23,1083
2015-03-24,1028
2015-03-25,1028
2015-03-26,982
2015-03-27,982
2015-03-28,939
2015-03-29,905
2015-03-30,905
2015-03-31,873
2015-04-01,873
2015-04-02,843
2015-04-03,843
2015-04-04,801
2015-04-05,801
2015-04-06,767
2015-04-07,767
2015-04-08,732
2015-04-09,732
2015-04-10,702
2015-04-11,702
2015-04-12,666
2015-04-13,666
2015-04-14,635
2015-04-15,635
2015-04-16,605
2015-04-17,605
2015-04-18,574
2015-04-19,574
2015-04-20,548
2015-04-21,548
2015-04-22,522
2015-04-23,508
2015-04-24,508
2015-04-25,497
2015-04-26,497
2015-04-27,485
2015-04-28,485
2015-04-29,469
2015-04-30,469
2015-05-01,467
2015-05-02,467
2015-05-03,463
2015-05-04,463
2015-05-05,454
2015-05-06,454
2015-05-07,448
2015-05-08,448
2015-05-09,447
2015-05-10,447
2015-05-11,447
2015-05-12,468
2015-05-13,468
2015-05-14,490
2015-05-15,490
2015-05-16,490
2015-05-17,508
2015-05-18,508
2015-05-19,532
2015-05-20,532
2015-05-21,532
2015-05-22,537
2015-05-23,537
2015-05-24,528
2015-05-25,528
2015-05-26,523
2015-05-27,523
2015-05-28,522
2015-05-29,522
2015-05-30,514
2015-05-31,514
2015-06-01,519
2015-06-02,519
2015-06-03,527
2015-06-04,527
2015-06-05,529
2015-06-06,529
2015-06-07,531
2015-06-08,531
2015-06-09,530
2015-06-10,530
2015-06-11,532
2015-06-12,532
2015-06-13,553
2015-06-14,553
2015-06-15,577
2015-06-16,577
2015-06-17,602
2015-06-18,602
2015-06-19,593
2015-06-20,593
2015-06-21,595
2015-06-22,595
2015-06-23,601
2015-06-24,608
2015-06-25,608
2015-06-26,609
2015-06-27,609
2015-06-28,583
2015-06-29,583
2015-06-30,555
2015-07-01,555
2015-07-02,529
2015-07-03,507
2015-07-04,507
2015-07-05,493
2015-07-06,493
2015-07-07,483
2015-07-08,483
2015-07-09,481
2015-07-10,481
2015-07-11,487
2015-07-12,487
2015-07-13,462
2015-07-14,448
2015-07-15,448
2015-07-16,456
2015-07-17,466
2015-07-18,466
2015-07-19,490
2015-07-20,490
2015-07-21,508
2015-07-22,521
2015-07-23,521
2015-07-24,538
2015-07-25,538
2015-07-26,512
2015-07-27,512
2015-07-28,512
2015-07-29,523
2015-07-30,523
2015-07-31,538
2015-08-01,538
2015-08-02,516
2015-08-03,516
2015-08-04,499
2015-08-05,516
2015-08-06,516
2015-08-07,535
