date_obj,Dragonfruit%20sapling price
2019-11-20,188183
2019-11-21,188183
2019-11-22,191476
2019-11-23,189472
2019-11-24,185943
2019-11-25,184264
2019-11-26,184122
2019-11-27,184122
2019-11-28,185969
2019-11-29,185969
2019-11-30,189433
2019-12-01,187992
2019-12-02,189858
2019-12-03,197107
2019-12-04,203571
2019-12-05,203571
2019-12-06,212587
2019-12-07,222606
2019-12-08,224816
2019-12-09,222073
2019-12-10,220310
2019-12-11,220046
2019-12-12,217870
2019-12-13,215635
2019-12-14,212316
2019-12-15,208952
2019-12-16,210004
2019-12-17,206844
2019-12-18,205845
2019-12-19,204823
2019-12-20,204974
2019-12-21,204078
2019-12-22,202273
2019-12-23,202273
2019-12-24,200572
2019-12-25,202076
2019-12-26,202076
2019-12-27,200576
2019-12-28,199309
2019-12-29,197537
2019-12-30,196563
2019-12-31,197774
2020-01-01,199155
2020-01-02,199759
2020-01-03,199937
2020-01-04,199155
2020-01-05,198234
2020-01-06,193962
2020-01-07,193527
2020-01-08,193527
2020-01-09,199020
2020-01-10,200676
2020-01-11,196031
2020-01-12,196131
2020-01-13,196131
2020-01-14,197802
2020-01-15,196112
2020-01-16,194830
2020-01-17,194423
2020-01-18,194423
2020-01-19,193458
2020-01-20,192947
2020-01-21,192947
2020-01-22,192182
2020-01-23,190526
2020-01-24,189729
2020-01-25,186382
2020-01-26,184468
2020-01-27,181372
2020-01-28,177248
2020-01-29,175950
2020-01-30,175031
2020-01-31,177847
2020-02-01,181784
2020-02-02,182515
2020-02-03,179755
2020-02-04,178115
2020-02-05,177349
2020-02-06,172217
2020-02-07,169254
2020-02-08,173557
2020-02-09,173175
2020-02-10,170696
2020-02-11,168374
2020-02-12,170746
2020-02-13,173728
2020-02-14,170830
2020-02-15,171140
2020-02-16,170127
2020-02-17,172132
2020-02-18,170218
2020-02-19,168894
2020-02-20,167314
2020-02-21,167314
2020-02-22,163918
2020-02-23,163587
2020-02-24,164239
2020-02-25,167438
2020-02-26,172085
2020-02-27,173636
2020-02-28,174180
2020-02-29,174180
2020-03-01,172718
2020-03-02,171127
2020-03-03,169183
2020-03-04,167180
2020-03-05,166066
2020-03-06,165041
2020-03-07,165805
2020-03-08,165958
2020-03-09,168052
2020-03-10,169425
2020-03-11,168638
2020-03-12,167928
2020-03-13,169760
2020-03-14,174030
2020-03-15,178253
2020-03-16,175580
2020-03-17,176594
2020-03-18,176693
2020-03-19,176441
2020-03-20,175086
2020-03-21,172412
2020-03-22,171929
2020-03-23,171885
2020-03-24,171932
2020-03-25,171338
2020-03-26,175016
2020-03-27,175490
2020-03-28,174597
2020-03-29,173408
2020-03-30,171885
2020-03-31,171053
2020-04-01,170241
2020-04-02,169175
2020-04-03,169175
2020-04-04,168235
2020-04-05,166052
2020-04-06,164221
2020-04-07,162719
2020-04-08,161726
2020-04-09,162022
2020-04-10,162427
2020-04-11,162776
2020-04-12,162346
2020-04-13,159092
2020-04-14,157481
2020-04-15,159864
2020-04-16,165800
2020-04-17,167890
2020-04-18,165357
2020-04-19,164290
2020-04-20,164372
2020-04-21,163816
2020-04-22,166961
2020-04-23,170520
2020-04-24,172811
2020-04-25,180224
2020-04-26,183209
2020-04-27,183578
2020-04-28,189949
2020-04-29,188562
2020-04-30,190764
2020-05-01,190533
2020-05-02,188893
2020-05-03,187732
2020-05-04,185789
2020-05-05,184641
2020-05-06,189795
2020-05-07,190429
2020-05-08,189733
2020-05-09,189997
2020-05-10,193216
2020-05-11,195344
2020-05-12,194531
2020-05-13,193989
