date_obj,Ankou%20leggings price
2016-07-06,7500000
2016-07-07,7500000
2016-07-08,7500000
2016-07-09,7500000
2016-07-10,7500000
2016-07-11,7500000
2016-07-12,7500000
2016-07-13,7778362
2016-07-14,7778362
2016-07-15,7778362
2016-07-16,7778362
2016-07-17,7778362
2016-07-18,7778362
2016-07-23,7778362
2016-07-24,7778362
2016-07-25,7778362
2016-07-26,7778362
2016-07-27,7778362
2016-07-28,7778362
2016-07-29,7778362
2016-07-30,7778362
2016-07-31,7778362
2016-08-01,7778362
2016-08-02,7778362
2016-08-03,8112198
2016-08-04,8112198
2016-08-05,8112198
2016-08-06,8112198
2016-08-07,8112198
2016-08-08,8112198
2016-08-09,8112198
2016-08-10,8112198
2016-08-11,8112198
2016-08-12,8112198
2016-08-13,8112198
2016-08-14,8112198
2016-08-15,8112198
2016-08-16,8112198
2016-08-17,8112198
2016-08-18,8112198
2016-08-19,8112198
2016-08-20,8112198
2016-08-21,8112198
2016-08-22,8112198
2016-08-23,8112198
2016-08-24,8112198
2016-08-25,8112198
2016-08-26,8112198
2016-08-28,8112198
2016-08-31,8112198
2016-09-01,8459537
2016-09-02,8459537
2016-09-03,8459537
2016-09-04,8459537
2016-09-05,8459537
2016-09-06,8459537
2016-09-07,8459537
2016-09-08,8459537
2016-09-09,8459537
2016-09-10,8459537
2016-09-11,8459537
2016-09-12,8459537
2016-09-13,8459537
2016-09-14,8459537
2016-09-15,8459537
2016-09-16,8459537
2016-09-17,8459537
2016-09-18,8459537
2016-09-19,8459537
2016-09-20,8459537
2016-09-21,8459537
2016-09-22,8459537
2016-09-23,8459537
2016-09-24,8459537
2016-09-25,8459537
2016-09-26,8459537
2016-09-27,8459537
2016-09-28,8770760
2016-09-29,8770760
2016-09-30,8770760
2016-10-01,8770760
2016-10-02,8770760
2016-10-03,8770760
2016-10-04,8770760
2016-10-05,8770760
2016-10-06,8770760
2016-10-07,8770760
2016-10-08,8770760
2016-10-09,8770760
