date_obj,Saradomin%20platelegs price
2015-03-26,148914
2015-03-27,148914
2015-03-28,144541
2015-03-29,144541
2015-03-30,142203
2015-03-31,142203
2015-04-01,142203
2015-04-02,137278
2015-04-03,137278
2015-04-04,131827
2015-04-05,131827
2015-04-06,131827
2015-04-07,127068
2015-04-08,127068
2015-04-09,127068
2015-04-10,121079
2015-04-11,121079
2015-04-12,116052
2015-04-13,116052
2015-04-14,116052
2015-04-15,114438
2015-04-16,114438
2015-04-17,114438
2015-04-18,113932
2015-04-19,113932
2015-04-20,113932
2015-04-21,113545
2015-04-22,113545
2015-04-23,111090
2015-04-24,111090
2015-04-25,111090
2015-04-26,109559
2015-04-27,109559
2015-04-28,108223
2015-04-29,108223
2015-04-30,108223
2015-05-01,107651
2015-05-02,107651
2015-05-03,107651
2015-05-04,105372
2015-05-05,105372
2015-05-06,101875
2015-05-07,101875
2015-05-08,101875
2015-05-09,97196
2015-05-10,97196
2015-05-11,97196
2015-05-12,94004
2015-05-13,94004
2015-05-14,90201
2015-05-15,90201
2015-05-16,90201
2015-05-17,87638
2015-05-18,87638
2015-05-19,87638
2015-05-20,85771
2015-05-21,85771
2015-05-22,85771
2015-05-23,85957
2015-05-24,85957
2015-05-25,87174
2015-05-26,87174
2015-05-27,87174
2015-05-28,88857
2015-05-29,88857
2015-05-30,88546
2015-05-31,88546
2015-06-01,86923
2015-06-02,86923
2015-06-03,87657
2015-06-04,87657
2015-06-05,88024
2015-06-06,89013
2015-06-07,89013
2015-06-08,88819
2015-06-09,88819
2015-06-10,89558
2015-06-11,89558
2015-06-12,90087
2015-06-13,90087
2015-06-14,89782
2015-06-15,89782
2015-06-16,89606
2015-06-17,89606
2015-06-18,88801
2015-06-19,88801
2015-06-20,88225
2015-06-21,88225
2015-06-22,87652
2015-06-23,87652
2015-06-24,89038
2015-06-25,89038
2015-06-26,89380
2015-06-27,89380
2015-06-28,90403
2015-06-29,90403
2015-06-30,92268
2015-07-01,92268
2015-07-02,94126
2015-07-03,95639
2015-07-04,95639
2015-07-05,98284
2015-07-06,98284
2015-07-07,100163
2015-07-08,100163
2015-07-09,102869
2015-07-10,102869
2015-07-11,105160
2015-07-12,105160
2015-07-13,105416
2015-07-14,105416
2015-07-15,104899
2015-07-16,104899
2015-07-17,104635
2015-07-18,104635
2015-07-19,105880
2015-07-20,105880
2015-07-21,105718
2015-07-22,103659
2015-07-23,103659
2015-07-24,102426
2015-07-25,102426
2015-07-26,98987
2015-07-27,98987
2015-07-28,96219
2015-07-29,93990
2015-07-30,93990
2015-07-31,93488
2015-08-01,93488
2015-08-02,94024
2015-08-03,94024
2015-08-04,95449
2015-08-05,97219
2015-08-06,97219
2015-08-07,97295
2015-08-08,97295
2015-08-09,96008
2015-08-10,96008
2015-08-11,94398
2015-08-12,94398
2015-08-13,92212
2015-08-14,91573
2015-08-15,91573
2015-08-16,90269
2015-08-17,90269
2015-08-18,89760
2015-08-19,91196
2015-08-20,91196
2015-08-21,88986
2015-08-22,88986
2015-08-23,89282
2015-08-24,89221
2015-08-25,89221
2015-08-26,87940
2015-08-27,87603
2015-08-28,87603
2015-08-29,85412
2015-08-30,85412
2015-08-31,81951
2015-09-01,81951
2015-09-02,80558
2015-09-03,80558
2015-09-04,78977
2015-09-05,78977
2015-09-06,78963
2015-09-07,78963
2015-09-08,79922
2015-09-09,79922
2015-09-10,83313
2015-09-11,83313
