date_obj,Chef's%20delight%20(flatpack) price
2017-03-07,38554
2017-03-08,38554
2017-03-09,38554
2017-03-10,38554
2017-03-11,38554
2017-03-12,38554
2017-03-13,38554
2017-03-14,38554
2017-03-15,38554
2017-03-16,38554
2017-03-17,38554
2017-03-18,38554
2017-03-19,38554
2017-03-20,38554
2017-03-21,38554
2017-03-22,38554
2017-03-23,38554
2017-03-24,38554
2017-03-25,38554
2017-03-26,38554
2017-03-27,38554
2017-03-28,38554
2017-03-29,38554
2017-03-30,38554
2017-03-31,38554
2017-04-01,38554
2017-04-02,38554
2017-04-03,38554
2017-04-04,38554
2017-04-12,40115
2017-04-13,40115
2017-04-14,40115
2017-04-15,40115
2017-04-16,40115
2017-04-17,40115
2017-04-18,40115
2017-04-19,40115
2017-04-20,40115
2017-04-21,40115
2017-04-22,40115
2017-04-23,40115
2017-04-24,40115
2017-04-25,40115
2017-04-26,40115
2017-04-27,40115
2017-04-28,40115
2017-04-29,40115
2017-04-30,40115
2017-05-01,40115
2017-05-02,40115
2017-05-03,40115
2017-05-04,40115
2017-05-05,40115
2017-05-06,40115
2017-05-07,40115
2017-05-08,40115
2017-05-09,40115
2017-05-10,40115
2017-05-11,40115
2017-05-12,40115
2017-05-13,40115
2017-05-14,40115
2017-05-15,40115
2017-05-16,40115
2017-05-17,40115
2017-05-18,40115
2017-05-19,40115
2017-05-20,40115
2017-05-21,40115
2017-05-22,40115
2017-05-23,40115
2017-05-24,40115
2017-05-25,40115
2017-05-26,40115
2017-05-27,40115
2017-05-28,40115
2017-05-29,40115
2017-05-30,40115
2017-05-31,40115
2017-06-01,40115
2017-06-02,40115
2017-06-03,40115
2017-06-04,40115
2017-06-05,40115
2017-06-06,40115
2017-06-07,40115
2017-06-08,40115
2017-06-09,40115
2017-06-10,40115
2017-06-11,40115
2017-06-12,40115
2017-06-13,40115
2017-06-14,40115
2017-06-15,40115
2017-06-16,40115
2017-06-17,40115
2017-06-18,40115
