date_obj,Mushroom%20spore price
2015-03-05,4265
2015-03-06,4051
2015-03-07,3863
2015-03-08,3675
2015-03-09,3505
2015-03-10,3336
2015-03-11,3173
2015-03-12,3020
2015-03-13,2885
2015-03-14,2748
2015-03-15,2618
2015-03-16,2491
2015-03-17,2369
2015-03-18,2369
2015-03-19,2258
2015-03-20,2155
2015-03-21,2056
2015-03-22,1953
2015-03-23,1858
2015-03-24,1771
2015-03-25,1686
2015-03-26,1611
2015-03-27,1611
2015-03-28,1533
2015-03-29,1458
2015-03-30,1387
2015-03-31,1320
2015-04-01,1320
2015-04-02,1256
2015-04-03,1195
2015-04-04,1137
2015-04-05,1137
2015-04-06,1082
2015-04-07,1029
2015-04-08,1029
2015-04-09,979
2015-04-10,932
2015-04-11,888
2015-04-12,845
2015-04-13,803
2015-04-14,803
2015-04-15,764
2015-04-16,764
2015-04-17,726
2015-04-18,690
2015-04-19,656
2015-04-20,656
2015-04-21,624
2015-04-22,624
2015-04-23,595
2015-04-24,595
2015-04-25,566
2015-04-26,566
2015-04-27,538
2015-04-28,538
2015-04-29,512
2015-04-30,512
2015-05-01,486
2015-05-02,486
2015-05-03,486
2015-05-04,462
2015-05-05,462
2015-05-06,440
2015-05-07,440
2015-05-08,420
2015-05-09,420
2015-05-10,401
2015-05-11,401
2015-05-12,381
2015-05-13,381
2015-05-14,363
2015-05-15,363
2015-05-16,363
2015-05-17,346
2015-05-18,346
2015-05-19,346
2015-05-20,330
2015-05-21,330
2015-05-22,330
2015-05-23,316
2015-05-24,316
2015-05-25,301
2015-05-26,301
2015-05-27,301
2015-05-28,285
2015-05-29,285
2015-05-30,270
2015-05-31,270
2015-06-01,256
2015-06-02,256
2015-06-03,243
2015-06-04,243
2015-06-05,230
2015-06-06,230
2015-06-07,218
2015-06-08,218
2015-06-09,207
2015-06-10,207
2015-06-11,197
2015-06-12,197
2015-06-13,188
2015-06-14,188
2015-06-15,179
2015-06-16,179
2015-06-17,171
2015-06-18,171
2015-06-19,163
2015-06-20,163
2015-06-21,157
2015-06-22,157
2015-06-23,152
2015-06-24,152
2015-06-25,145
2015-06-26,145
2015-06-27,140
2015-06-28,140
2015-06-29,137
2015-06-30,137
2015-07-01,131
2015-07-02,131
2015-07-03,131
2015-07-04,125
2015-07-05,125
2015-07-06,125
2015-07-07,118
2015-07-08,118
2015-07-09,112
2015-07-10,112
