date_obj,Hydra%20bones price
2019-01-10,8000
2019-01-10,7610
2019-01-11,7229
2019-01-12,6867
2019-01-13,6523
2019-01-14,6196
2019-01-15,5886
2019-01-16,5591
2019-01-17,5311
2019-01-18,5045
2019-01-19,4792
2019-01-20,4552
2019-01-21,4324
2019-01-22,4522
2019-01-23,4749
2019-01-24,4987
2019-01-25,5171
2019-01-26,5114
2019-01-27,5159
2019-01-28,5141
2019-01-29,5244
2019-01-30,5274
2019-01-31,5117
2019-02-01,5046
2019-02-02,4993
2019-02-03,5028
2019-02-04,4963
2019-02-05,5159
2019-02-06,5417
2019-02-07,5413
2019-02-08,5154
2019-02-09,4957
2019-02-10,4716
2019-02-11,4640
2019-02-12,4637
2019-02-13,4869
2019-02-14,5106
2019-02-15,5087
2019-02-16,4982
2019-02-17,4929
2019-02-18,4744
2019-02-19,4778
2019-02-20,4803
2019-02-21,4838
2019-02-22,4852
2019-02-23,4841
2019-02-24,4769
2019-02-25,4701
2019-02-26,4596
2019-02-27,4662
2019-02-28,4693
2019-03-01,4688
2019-03-02,4706
2019-03-03,4706
2019-03-04,4758
2019-03-05,4777
2019-03-06,4824
2019-03-07,4878
2019-03-08,4914
2019-03-09,4935
2019-03-10,4909
2019-03-11,4861
2019-03-12,4943
2019-03-13,5044
2019-03-14,5061
2019-03-15,5166
2019-03-16,5132
2019-03-17,5037
2019-03-18,5029
2019-03-19,4982
2019-03-20,4935
2019-03-21,4949
2019-03-22,5046
2019-03-23,5065
2019-03-24,5015
2019-03-25,5062
2019-03-26,5138
2019-03-27,5198
2019-03-28,5354
2019-03-29,5238
2019-03-30,5200
2019-03-31,5202
2019-04-01,5211
2019-04-02,5209
2019-04-03,5210
2019-04-04,5236
2019-04-05,5330
2019-04-06,5298
2019-04-07,5404
2019-04-08,5426
2019-04-09,5481
2019-04-10,5515
2019-04-11,5577
2019-04-12,5596
2019-04-13,5514
2019-04-14,5480
2019-04-15,5623
2019-04-16,5631
2019-04-17,5678
2019-04-18,5494
2019-04-19,5254
2019-04-20,5322
2019-04-21,5441
2019-04-22,5515
2019-04-23,5522
2019-04-24,5476
2019-04-25,5403
2019-04-26,5462
2019-04-27,5613
2019-04-28,5597
2019-04-29,5583
2019-04-30,5544
2019-05-01,5533
2019-05-02,5492
2019-05-03,5516
2019-05-04,5572
2019-05-05,5579
2019-05-06,5571
2019-05-07,5505
2019-05-08,5490
2019-05-09,5577
2019-05-10,5779
2019-05-11,5838
2019-05-12,5638
2019-05-13,5746
2019-05-14,5845
2019-05-15,5907
2019-05-16,6004
2019-05-17,5877
2019-05-18,5825
2019-05-19,5833
2019-05-20,5901
2019-05-21,5857
2019-05-22,5732
2019-05-23,5735
2019-05-24,5744
2019-05-25,5787
2019-05-26,5751
2019-05-27,5736
2019-05-28,5873
2019-05-29,5979
2019-05-30,6074
2019-05-31,6025
2019-06-01,5932
2019-06-02,5915
2019-06-03,5877
2019-06-04,5876
2019-06-05,5820
2019-06-06,5828
2019-06-07,5826
2019-06-08,5827
2019-06-09,5784
2019-06-10,5756
