date_obj,Mystic%20robe%20bottom%20(dusk) price
2019-01-10,50200
2019-01-11,52549
2019-01-12,55177
2019-01-13,57917
2019-01-14,60813
2019-01-15,63854
2019-01-16,66965
2019-01-17,70314
2019-01-18,73830
2019-01-19,77522
2019-01-20,81230
2019-01-22,89250
2019-01-23,93713
2019-01-24,98266
2019-01-25,103180
2019-01-26,108339
2019-01-27,113756
2019-01-28,119444
2019-01-29,125417
2019-01-30,131688
2019-01-31,138069
2019-02-01,144973
2019-02-02,152027
2019-02-03,159629
2019-02-04,159629
2019-02-05,167530
2019-02-06,167530
2019-02-07,175907
2019-02-08,184402
2019-02-09,193623
2019-02-10,203044
2019-02-11,212603
2019-02-12,222700
2019-02-13,233835
2019-02-14,233835
2019-02-15,245527
2019-02-16,257534
2019-02-17,269985
2019-02-18,283036
2019-02-19,293074
2019-02-20,294510
2019-02-21,291142
2019-02-22,286606
2019-02-23,275455
2019-02-24,267704
2019-02-25,260608
2019-02-26,254388
2019-02-27,254388
2019-02-28,254388
2019-03-01,244882
2019-03-02,234790
2019-03-03,227849
2019-03-04,223516
2019-03-05,216846
2019-03-06,214062
2019-03-07,204262
2019-03-08,204262
2019-03-09,196915
2019-03-10,192114
2019-03-11,186832
2019-03-12,187255
2019-03-13,187255
2019-03-14,189723
2019-03-15,189723
2019-03-16,198458
2019-03-17,203329
2019-03-18,203329
2019-03-19,213121
2019-03-20,222647
2019-03-21,222647
2019-03-22,229732
2019-03-23,238304
2019-03-24,238304
2019-03-25,247118
2019-03-26,247118
2019-03-27,258107
2019-03-28,258107
2019-03-29,269229
2019-03-30,269229
2019-03-31,259617
2019-04-01,259617
2019-04-02,249591
2019-04-03,249591
2019-04-04,253620
2019-04-05,253620
2019-04-06,265962
2019-04-07,265962
2019-04-08,279261
2019-04-09,279261
2019-04-10,284777
2019-04-11,284777
2019-04-12,289866
2019-04-13,289866
2019-04-14,286391
2019-04-15,286391
2019-04-16,274131
2019-04-17,274131
2019-04-18,264558
2019-04-19,264558
2019-04-20,255782
2019-04-21,255782
2019-04-22,245540
2019-04-23,235741
2019-04-24,235741
2019-04-25,225413
2019-04-26,225413
2019-04-27,218664
2019-04-28,218664
2019-04-29,211324
2019-04-30,202050
2019-05-01,202050
2019-05-02,192639
2019-05-03,183926
2019-05-04,175724
2019-05-05,175724
2019-05-06,169839
2019-05-07,169839
2019-05-08,162611
2019-05-09,162611
2019-05-10,157520
2019-05-11,157520
2019-05-12,150375
2019-05-13,145807
2019-05-14,145807
2019-05-15,141650
2019-05-16,141650
2019-05-17,145163
2019-05-18,150514
2019-05-19,150514
2019-05-20,157085
2019-05-21,157085
2019-05-22,164772
2019-05-23,164772
2019-05-24,170756
2019-05-25,170756
2019-05-26,178233
2019-05-27,178233
2019-05-28,180557
2019-05-29,180557
2019-05-30,185372
2019-05-31,185372
2019-06-01,189752
2019-06-02,189752
2019-06-03,196601
2019-06-04,196601
2019-06-05,194122
2019-06-06,194122
2019-06-07,200354
2019-06-08,200354
2019-06-09,210372
2019-06-10,210372
2019-06-11,210372
2019-06-12,219099
2019-06-13,219099
2019-06-14,230038
2019-06-15,230038
2019-06-16,239201
2019-06-17,239201
2019-06-18,237298
2019-06-19,237298
2019-06-20,237859
2019-06-21,237859
2019-06-22,234491
2019-06-23,234491
2019-06-24,223729
2019-06-25,223729
2019-06-26,214860
2019-06-27,218716
2019-06-28,218716
2019-06-29,221223
2019-06-30,217054
2019-07-01,217054
2019-07-02,209107
2019-07-03,209107
2019-07-04,202140
2019-07-05,202140
2019-07-06,193128
2019-07-07,193128
2019-07-08,184992
2019-07-09,184992
2019-07-10,179021
2019-07-11,179021
2019-07-12,172522
2019-07-13,172522
2019-07-14,170830
2019-07-15,170830
2019-07-16,163931
2019-07-17,163931
2019-07-18,166106
2019-07-19,166106
2019-07-20,166106
2019-07-21,172195
2019-07-22,172195
2019-07-23,166731
2019-07-24,166731
2019-07-25,166731
2019-07-26,161642
2019-07-27,161642
2019-07-28,154792
2019-07-29,154792
2019-07-30,152281
2019-07-31,152281
2019-08-01,152931
2019-08-02,152931
2019-08-03,157668
2019-08-04,157668
2019-08-05,157756
2019-08-06,157756
2019-08-07,155486
2019-08-08,155486
2019-08-09,155486
2019-08-10,160174
2019-08-11,160174
2019-08-12,155828
2019-08-13,155828
2019-08-14,161908
2019-08-15,161908
2019-08-16,169831
2019-08-17,169831
2019-08-18,177396
2019-08-19,177396
2019-08-20,183967
2019-08-21,183967
2019-08-22,188129
2019-08-23,188129
2019-08-24,196055
2019-08-24,196055
2019-08-25,196055
2019-08-25,196055
2019-08-26,204271
2019-08-26,204271
2019-08-27,204271
2019-08-27,204271
2019-08-28,213939
2019-08-29,213939
2019-08-30,214790
2019-08-31,214790
2019-09-01,216815
2019-09-02,216815
2019-09-03,216815
2019-09-04,223110
2019-09-05,223110
2019-09-06,223110
2019-09-07,228425
2019-09-08,228425
2019-09-09,239422
2019-09-10,239422
2019-09-11,239422
2019-09-12,250042
2019-09-13,250042
2019-09-14,250042
2019-09-15,246050
2019-09-16,246050
2019-09-17,250653
2019-09-18,250653
2019-09-19,250653
2019-09-20,260694
2019-09-21,260694
2019-09-22,264801
2019-09-23,264801
2019-09-24,257137
2019-09-25,257137
2019-09-26,250685
2019-09-27,250685
2019-09-28,250685
2019-09-29,247741
2019-09-30,247741
2019-10-01,250608
2019-10-02,250608
2019-10-03,250608
2019-10-04,251364
2019-10-05,251364
2019-10-06,242131
2019-10-07,242131
2019-10-08,242669
2019-10-09,242669
2019-10-10,242669
2019-10-11,232643
2019-10-12,232643
2019-10-13,225578
2019-10-14,225578
2019-10-15,225578
2019-10-16,218958
2019-10-17,218958
2019-10-18,218958
2019-10-19,213890
2019-10-20,213890
2019-10-21,213890
2019-10-22,212138
2019-10-23,212138
2019-10-24,212138
2019-10-25,218535
2019-10-26,218535
2019-10-27,212404
2019-10-28,212404
2019-10-29,212404
2019-10-30,212408
2019-10-31,212408
2019-11-01,212408
2019-11-02,219839
2019-11-03,219839
2019-11-04,226909
2019-11-05,226909
2019-11-06,226909
2019-11-07,235602
2019-11-08,235602
2019-11-09,239895
2019-11-10,239895
2019-11-11,243955
2019-11-12,243955
2019-11-13,243955
2019-11-14,236963
2019-11-15,236963
2019-11-16,228431
2019-11-17,228431
2019-11-18,228431
2019-11-19,227444
2019-11-20,227444
2019-11-21,227444
2019-11-22,222761
2019-11-23,222761
2019-11-24,218375
