date_obj,Seercull price
2016-01-05,63718
2016-01-06,63718
2016-01-07,64089
2016-01-08,64089
2016-01-09,64037
2016-01-10,64037
2016-01-11,64249
2016-01-12,65572
2016-01-13,65572
2016-01-14,67140
2016-01-15,67140
2016-01-16,66394
2016-01-17,66394
2016-01-18,64227
2016-01-19,64227
2016-01-20,62565
2016-01-21,62565
2016-01-22,60540
2016-01-23,60540
2016-01-24,57639
2016-01-25,54757
2016-01-26,54757
2016-01-27,52019
2016-01-28,52019
2016-01-29,49557
2016-01-30,49557
2016-01-31,47606
2016-02-01,45225
2016-02-02,45225
2016-02-03,42983
2016-02-04,44031
2016-02-05,44031
2016-02-06,46233
2016-02-07,46233
2016-02-08,48545
2016-02-09,48545
2016-02-10,50969
2016-02-11,50969
2016-02-12,53518
2016-02-13,53358
2016-02-14,53358
2016-02-15,54902
2016-02-16,54902
2016-02-17,56131
2016-02-18,56131
2016-02-19,58696
2016-02-20,58696
2016-02-21,59535
2016-02-22,59535
2016-02-23,61781
2016-02-24,61781
2016-02-25,64871
2016-02-26,64871
2016-02-27,67828
2016-02-28,67828
2016-02-29,70309
2016-03-01,72933
2016-03-02,72933
2016-03-03,75077
2016-03-04,75077
2016-03-05,78050
2016-03-06,81953
2016-03-07,81953
2016-03-08,85332
2016-03-09,87598
2016-03-10,87186
2016-03-11,87186
2016-03-12,90413
2016-03-13,90413
2016-03-14,92990
2016-03-15,92990
2016-03-16,95023
2016-03-17,95023
2016-03-18,97346
2016-03-19,97346
2016-03-20,95104
2016-03-21,95104
2016-03-22,96789
2016-03-23,98506
2016-03-24,98506
2016-03-25,97292
2016-03-26,97292
2016-03-27,96961
2016-03-28,98050
2016-03-29,98050
2016-03-30,98562
2016-03-31,98562
2016-04-01,96766
2016-04-02,96766
2016-04-03,98815
2016-04-04,98815
2016-04-05,99525
2016-04-06,94714
2016-04-07,94714
2016-04-08,90568
2016-04-09,90344
2016-04-10,89148
2016-04-11,89148
2016-04-12,86673
2016-04-13,86673
2016-04-14,86946
2016-04-15,86225
2016-04-16,85883
2016-04-17,86222
2016-04-18,87960
2016-04-19,87960
2016-04-20,89362
2016-04-21,89362
2016-04-22,89139
2016-04-23,89404
2016-04-24,89404
2016-04-25,89234
2016-04-26,89234
2016-04-27,88884
2016-04-28,88884
2016-04-29,88653
2016-04-30,86747
2016-05-01,86747
2016-05-02,86017
2016-05-03,87458
2016-05-04,87458
2016-05-05,89423
2016-05-06,89423
2016-05-07,85104
2016-05-08,85104
2016-05-09,80848
2016-05-10,77489
2016-05-11,77489
2016-05-12,74463
2016-05-13,75598
2016-05-14,78755
2016-05-15,77009
2016-05-16,77009
2016-05-17,79915
2016-05-18,81990
2016-05-19,81990
2016-05-22,78462
2016-05-23,78820
2016-05-24,75901
2016-05-25,75901
2016-05-26,75248
2016-05-27,73864
2016-05-28,73864
2016-05-29,71920
2016-05-30,71920
2016-05-31,72055
2016-06-01,69346
2016-06-02,69346
2016-06-03,67407
2016-06-04,65443
2016-06-05,65443
2016-06-06,63579
2016-06-07,63579
2016-06-08,60748
2016-06-09,58717
2016-06-10,57246
2016-06-11,57246
2016-06-12,55452
2016-06-13,55452
2016-06-14,54734
2016-06-15,54734
2016-06-16,53631
2016-06-17,52243
2016-06-18,52243
2016-06-19,51112
2016-06-20,51112
2016-06-21,50322
2016-06-22,49697
2016-06-23,50702
2016-06-24,50702
2016-06-25,52601
2016-06-26,52601
2016-06-27,52950
2016-06-28,50770
2016-06-29,50770
2016-06-30,49428
2016-07-01,50843
2016-07-02,50843
2016-07-03,51610
2016-07-04,51776
2016-07-05,51776
2016-07-06,51981
2016-07-07,51981
2016-07-08,52667
2016-07-09,53959
2016-07-10,52935
2016-07-11,53666
2016-07-12,53666
2016-07-13,55009
2016-07-14,55683
2016-07-15,55683
2016-07-16,56248
2016-07-17,56248
2016-07-18,54808
2016-07-23,53463
2016-07-24,53828
2016-07-25,53828
2016-07-26,52407
2016-07-27,52407
2016-07-28,51977
2016-07-29,51991
2016-07-30,52972
2016-07-31,52972
2016-08-01,53090
2016-08-02,53010
2016-08-03,53010
2016-08-04,52263
2016-08-05,52263
2016-08-06,51064
2016-08-07,51064
2016-08-08,50067
2016-08-09,48995
2016-08-10,48995
2016-08-11,48397
2016-08-12,48397
2016-08-13,48784
2016-08-14,48784
2016-08-15,50104
2016-08-16,50104
2016-08-17,51561
2016-08-18,51561
2016-08-19,51912
2016-08-20,51912
2016-08-21,52842
2016-08-22,52842
2016-08-23,53369
2016-08-24,53369
2016-08-25,51535
2016-08-26,51535
2016-08-28,52074
2016-08-31,48849
2016-09-01,48849
2016-09-02,47805
2016-09-03,47805
2016-09-04,46337
2016-09-05,46337
2016-09-06,45240
2016-09-07,45240
2016-09-08,45162
2016-09-09,45162
2016-09-10,44177
2016-09-11,44177
2016-09-12,42747
2016-09-13,42747
2016-09-14,42526
2016-09-15,42526
2016-09-16,42809
2016-09-17,42809
2016-09-18,42965
2016-09-19,42965
2016-09-20,43334
2016-09-21,43334
2016-09-22,43001
2016-09-23,43001
2016-09-24,43001
2016-09-25,42230
2016-09-26,42230
2016-09-27,42894
2016-09-28,42894
2016-09-29,41617
2016-09-30,39607
2016-10-01,39607
2016-10-02,37854
2016-10-03,37854
2016-10-04,36384
2016-10-05,36384
2016-10-06,35078
2016-10-07,35078
2016-10-08,34594
2016-10-09,34594
2016-10-11,35946
2016-10-12,37730
2016-10-13,37730
2016-10-14,39594
2016-10-15,39594
2016-10-16,41047
2016-10-17,42951
2016-10-18,42951
2016-10-19,45099
2016-10-20,45099
