date_obj,Iron%20platebody%20(g) price
2015-03-26,855988
2015-03-27,855988
2015-03-28,829442
2015-03-29,804479
2015-03-30,772808
2015-03-31,736681
2015-04-01,705247
2015-04-02,672613
2015-04-03,662004
2015-04-04,649430
2015-04-05,635499
2015-04-06,623809
2015-04-07,617948
2015-04-08,617948
2015-04-09,611325
2015-04-10,608899
2015-04-11,598502
2015-04-12,602154
2015-04-13,600577
2015-04-14,593074
2015-04-15,595476
2015-04-16,596687
2015-04-17,605530
2015-04-18,626398
2015-04-19,624498
2015-04-20,624498
2015-04-21,630894
2015-04-22,628289
2015-04-23,631366
2015-04-24,626448
2015-04-25,628393
2015-04-26,626080
2015-04-27,629720
2015-04-28,631482
2015-04-29,631482
2015-04-30,635398
2015-05-01,621665
2015-05-02,608154
2015-05-03,608154
2015-05-04,586105
2015-05-05,561310
2015-05-06,537303
2015-05-07,519797
2015-05-08,498786
2015-05-09,487783
2015-05-10,473894
2015-05-11,473894
2015-05-12,467090
2015-05-13,462048
2015-05-14,455939
2015-05-15,446156
2015-05-16,440421
2015-05-17,440179
2015-05-18,446332
2015-05-19,453136
2015-05-20,453136
2015-05-21,456989
2015-05-22,448613
2015-05-23,440537
2015-05-24,432323
2015-05-25,431830
2015-05-26,428264
2015-05-27,416366
2015-05-28,410334
2015-05-29,406368
2015-05-30,408280
2015-05-31,408280
2015-06-01,415955
2015-06-02,415955
2015-06-03,422344
2015-06-04,433815
2015-06-05,443292
2015-06-06,449520
2015-06-07,457646
2015-06-08,457646
2015-06-09,469955
2015-06-10,479512
2015-06-11,487470
2015-06-12,494954
2015-06-13,504488
2015-06-14,513606
2015-06-15,523774
2015-06-16,530932
2015-06-17,530932
2015-06-18,549528
2015-06-19,560478
2015-06-20,576510
2015-06-21,576510
2015-06-22,587822
2015-06-23,587822
2015-06-24,584492
2015-06-25,584492
2015-06-26,570777
2015-06-27,570777
2015-06-28,573175
2015-06-29,573175
2015-06-30,580177
2015-07-01,575838
2015-07-02,575838
2015-07-03,571514
2015-07-04,570783
2015-07-05,577961
2015-07-06,581153
2015-07-07,573598
2015-07-08,582150
2015-07-09,582150
2015-07-10,579273
2015-07-11,566783
2015-07-12,566783
2015-07-13,579677
2015-07-14,588030
2015-07-15,601911
2015-07-16,598485
2015-07-17,600515
2015-07-18,600515
2015-07-19,609042
2015-07-20,622536
2015-07-21,631247
2015-07-22,641929
2015-07-23,641929
2015-07-24,660483
2015-07-25,688456
2015-07-26,715702
2015-07-27,743713
2015-07-28,764182
2015-07-29,790050
2015-07-30,802099
2015-07-31,814951
2015-08-01,818148
2015-08-02,805680
2015-08-03,806474
2015-08-04,798628
2015-08-05,789622
2015-08-06,778138
2015-08-07,778138
2015-08-08,760673
2015-08-09,748075
2015-08-10,723599
2015-08-11,711152
2015-08-12,711152
2015-08-13,698593
2015-08-14,694161
2015-08-15,675914
2015-08-16,677265
2015-08-17,682327
2015-08-18,686930
2015-08-19,677446
2015-08-20,677446
2015-08-21,665710
2015-08-22,669063
2015-08-23,669063
2015-08-24,655640
2015-08-25,655640
2015-08-26,670664
2015-08-27,694721
2015-08-28,708525
2015-08-29,715656
2015-08-30,715656
2015-08-31,728592
2015-09-01,741375
2015-09-02,741375
2015-09-03,755157
2015-09-04,769014
2015-09-05,769014
2015-09-06,789825
2015-09-07,807759
2015-09-08,821504
2015-09-09,821504
2015-09-10,838864
2015-09-11,831023
2015-09-12,826070
2015-09-13,829314
2015-09-14,841471
2015-09-15,852144
2015-09-16,852144
2015-09-17,851629
2015-09-18,851629
2015-09-19,855195
2015-09-20,858372
2015-09-21,855753
2015-09-22,864436
2015-09-23,869113
2015-09-24,869113
2015-09-25,861380
2015-09-27,852716
2015-09-28,860669
2015-09-29,860669
2015-09-30,862049
2015-10-05,816365
2015-10-06,833729
2015-10-07,833729
2015-10-08,845940
2015-10-09,853182
2015-10-10,853182
2015-10-11,855668
2015-10-12,852573
2015-10-13,852573
2015-10-14,844610
2015-10-15,839146
2015-10-16,832871
2015-10-17,832871
2015-10-18,830850
2015-10-19,825823
2015-10-20,814619
2015-10-22,799364
2015-10-23,777628
2015-10-24,777628
2015-10-25,750157
2015-10-26,767444
2015-10-27,767444
2015-10-29,790607
2015-10-30,790607
2015-10-31,800023
2015-11-01,800023
2015-11-02,805614
2015-11-03,805614
2015-11-04,827338
2015-11-05,829330
2015-11-06,829330
2015-11-07,816256
2015-11-08,816256
2015-11-09,825145
2015-11-10,825145
2015-11-11,833805
2015-11-12,833805
2015-11-13,844811
2015-11-14,862305
2015-11-15,867494
2015-11-16,867494
2015-11-17,882588
2015-11-18,882588
2015-11-19,893986
2015-11-20,889382
2015-11-21,889382
2015-11-22,890256
2015-11-23,890256
2015-11-24,893585
2015-11-25,895905
2015-11-26,895905
2015-11-27,894791
2015-11-28,894959
2015-11-29,888516
2015-11-30,876682
2015-12-01,876682
2015-12-02,877468
2015-12-03,893384
2015-12-04,893384
2015-12-05,905575
2015-12-06,908914
2015-12-07,903439
2015-12-08,903439
2015-12-09,900425
2015-12-10,899725
2015-12-11,899668
2015-12-12,887480
2015-12-13,877322
2015-12-14,877322
2015-12-15,871408
2015-12-16,878207
2015-12-17,878207
2015-12-18,871311
2015-12-19,871311
2015-12-20,871012
2015-12-21,871012
2015-12-22,868773
2015-12-23,876620
2015-12-24,876620
2015-12-25,881778
2015-12-26,874746
2015-12-27,887635
2015-12-28,876501
2015-12-29,877019
2015-12-30,880940
2015-12-31,870560
2016-01-01,870560
2016-01-02,858048
2016-01-03,837233
2016-01-04,834958
2016-01-05,837709
2016-01-06,848269
2016-01-07,858008
2016-01-08,869785
2016-01-09,869785
2016-01-10,855532
2016-01-11,848798
2016-01-12,827510
2016-01-13,827510
2016-01-14,801359
2016-01-15,800497
2016-01-16,794177
2016-01-17,794177
2016-01-18,789001
2016-01-19,789001
2016-01-20,791494
2016-01-21,791494
2016-01-22,800242
2016-01-23,802837
2016-01-24,803700
2016-01-25,805211
2016-01-26,806546
2016-01-27,803750
2016-01-28,803750
2016-01-29,794424
2016-01-30,794424
2016-01-31,792526
2016-02-01,786239
2016-02-02,781985
2016-02-03,772611
2016-02-04,772611
2016-02-05,764064
2016-02-06,758788
2016-02-07,757723
2016-02-08,761919
2016-02-09,758869
2016-02-10,763499
2016-02-11,763499
2016-02-12,767493
2016-02-13,761182
2016-02-14,761182
2016-02-15,761527
2016-02-16,759078
2016-02-17,751296
2016-02-18,751296
2016-02-19,755455
2016-02-20,754720
2016-02-21,744442
2016-02-22,744442
2016-02-23,737855
2016-02-24,737855
2016-02-25,742304
2016-02-26,742304
2016-02-27,740797
2016-02-28,728157
2016-02-29,728260
2016-03-01,733982
2016-03-02,751022
2016-03-03,772158
2016-03-04,776050
2016-03-05,788038
2016-03-06,795429
2016-03-07,795429
2016-03-08,787923
2016-03-09,786041
2016-03-10,785631
2016-03-11,800101
2016-03-12,813364
2016-03-13,813364
2016-03-14,815509
2016-03-15,805871
2016-03-16,800858
2016-03-17,796847
2016-03-18,791972
2016-03-19,790892
2016-03-20,794222
2016-03-21,797697
2016-03-22,812182
2016-03-23,804751
2016-03-24,794773
2016-03-25,802854
2016-03-26,787169
2016-03-27,772062
2016-03-28,761674
2016-03-29,780719
2016-03-30,780719
2016-03-31,781989
2016-04-01,786777
2016-04-02,791532
2016-04-03,785384
2016-04-04,794486
2016-04-05,801676
2016-04-06,794786
2016-04-07,794786
2016-04-08,786101
2016-04-09,795509
2016-04-10,785148
2016-04-11,785148
2016-04-12,783358
2016-04-13,780153
2016-04-14,784407
2016-04-15,788154
2016-04-16,789930
2016-04-17,783244
2016-04-18,787391
2016-04-19,792163
2016-04-20,788573
2016-04-21,784825
2016-04-22,784825
2016-04-23,782089
2016-04-24,785818
2016-04-25,782402
2016-04-26,791969
2016-04-27,779353
2016-04-28,785690
2016-04-29,786751
2016-04-30,789161
2016-05-01,791272
2016-05-02,789054
2016-05-03,783820
2016-05-04,779488
2016-05-05,776298
2016-05-06,776298
2016-05-07,769075
2016-05-08,769075
2016-05-09,758020
2016-05-10,752728
2016-05-11,752728
2016-05-12,746536
2016-05-13,747317
2016-05-14,747590
2016-05-15,754341
2016-05-16,754233
2016-05-17,757447
2016-05-18,769023
2016-05-19,769023
2016-05-22,783141
2016-05-23,779137
2016-05-24,772556
2016-05-25,775947
2016-05-26,777184
2016-05-27,781140
2016-05-28,781140
2016-05-29,781769
2016-05-30,781769
2016-05-31,783019
2016-06-01,778865
2016-06-02,769831
2016-06-03,760776
2016-06-04,754815
2016-06-05,765885
2016-06-06,769987
2016-06-07,769987
2016-06-08,771433
2016-06-09,768172
2016-06-10,768214
2016-06-11,767332
2016-06-12,771520
2016-06-13,767393
2016-06-14,767951
2016-06-15,771964
2016-06-16,771964
2016-06-17,778695
2016-06-18,778695
2016-06-19,783813
2016-06-20,785581
2016-06-21,786121
2016-06-22,785566
2016-06-23,780439
2016-06-24,774234
2016-06-25,781935
2016-06-26,781935
2016-06-27,785353
2016-06-28,781272
2016-06-29,793230
2016-06-30,783640
2016-07-01,783236
2016-07-02,784824
2016-07-03,777845
2016-07-04,775944
2016-07-05,765951
2016-07-06,732664
2016-07-07,696030
2016-07-08,661228
2016-07-09,629380
2016-07-10,598317
2016-07-11,572695
2016-07-12,561144
2016-07-13,537402
2016-07-14,517775
2016-07-15,493409
2016-07-16,472684
2016-07-17,453472
2016-07-18,432932
2016-07-23,392090
2016-07-24,390581
2016-07-25,386162
2016-07-26,378848
2016-07-27,384006
2016-07-28,386166
2016-07-29,384840
2016-07-30,389738
2016-07-31,388292
2016-08-01,395002
2016-08-02,396559
2016-08-03,402560
2016-08-04,411965
2016-08-05,428431
2016-08-06,439401
2016-08-07,443729
2016-08-08,448381
2016-08-09,456793
2016-08-10,458859
2016-08-11,450731
2016-08-12,450341
2016-08-13,453964
2016-08-14,454355
2016-08-15,465922
2016-08-16,463077
2016-08-17,465213
2016-08-18,466670
2016-08-19,462292
2016-08-20,464197
2016-08-21,461928
2016-08-22,459553
2016-08-23,458810
2016-08-24,454617
2016-08-25,455431
2016-08-26,455431
2016-08-28,452381
2016-08-31,455914
2016-09-01,453042
2016-09-02,453042
2016-09-03,448921
2016-09-04,447145
2016-09-05,447188
2016-09-06,446601
2016-09-07,440001
2016-09-08,443240
2016-09-09,446128
2016-09-10,444010
2016-09-11,444441
2016-09-12,447438
2016-09-13,450967
2016-09-14,452089
2016-09-15,451943
2016-09-16,451943
2016-09-17,449646
2016-09-18,447838
2016-09-19,445430
2016-09-20,446277
2016-09-21,440931
2016-09-22,438046
2016-09-23,438070
2016-09-24,438070
2016-09-25,435570
2016-09-26,435570
2016-09-27,440361
2016-09-28,445632
2016-09-29,440850
2016-09-30,443086
2016-10-01,439189
2016-10-02,445916
2016-10-03,444958
2016-10-04,445257
2016-10-05,447194
2016-10-06,444803
2016-10-07,442549
2016-10-08,443670
2016-10-09,445436
2016-10-10,450358
2016-10-11,450838
2016-10-12,455216
2016-10-13,455838
2016-10-14,460578
2016-10-15,472370
2016-10-16,478259
2016-10-17,488170
2016-10-18,497520
2016-10-19,507710
2016-10-20,518981
2016-10-21,529910
2016-10-22,529910
2016-10-23,523301
2016-10-24,524966
2016-10-25,524966
2016-10-26,526947
2016-10-27,542376
2016-10-28,542376
2016-10-29,540783
2016-10-30,538495
2016-10-31,539544
2016-11-01,539544
2016-11-02,529018
2016-11-03,529018
2016-11-04,521724
2016-11-05,521724
2016-11-06,506928
2016-11-07,495183
2016-11-08,479272
2016-11-09,460021
2016-11-10,447445
2016-11-11,448103
2016-11-12,451356
2016-11-13,451356
2016-11-14,450306
2016-12-07,426982
2016-12-08,427462
2016-12-09,419900
2016-12-10,422583
2016-12-11,424682
2016-12-12,417608
2016-12-13,415762
2016-12-14,417052
2016-12-15,417052
2016-12-16,413264
2016-12-17,416359
2016-12-18,415362
2016-12-19,419858
2016-12-20,423827
2016-12-21,429822
2016-12-22,432057
2016-12-23,439325
2016-12-24,448328
2016-12-25,449803
2016-12-26,442059
2016-12-27,445141
2016-12-28,452662
2016-12-29,443631
2016-12-30,445081
2016-12-31,440643
2017-01-01,436101
2017-01-02,433722
2017-01-03,432334
2017-01-04,430219
2017-01-05,422068
2017-01-06,419150
2017-01-07,413558
2017-01-08,401495
2017-01-09,406785
2017-01-10,405330
2017-01-11,401078
2017-01-12,393095
2017-01-13,381930
2017-01-14,377789
2017-01-15,368502
2017-01-16,362978
2017-01-17,362144
2017-01-18,367051
2017-01-19,373087
2017-01-20,372821
