date_obj,Mithril%20platebody%20(t) price
2015-03-26,22878
2015-03-27,22878
2015-03-28,22080
2015-03-29,21491
2015-03-30,20888
2015-03-31,19996
2015-04-01,19996
2015-04-02,19398
2015-04-03,19229
2015-04-04,19110
2015-04-05,19110
2015-04-06,18570
2015-04-07,18198
2015-04-08,18198
2015-04-09,18020
2015-04-10,18118
2015-04-11,18117
2015-04-12,17467
2015-04-13,16800
2015-04-14,16800
2015-04-15,16294
2015-04-16,16294
2015-04-17,16133
2015-04-18,15474
2015-04-19,15476
2015-04-20,15476
2015-04-21,14995
2015-04-22,14995
2015-04-23,14796
2015-04-24,14477
2015-04-25,14217
2015-04-26,13977
2015-04-27,13656
2015-04-28,13415
2015-04-29,13415
2015-04-30,13213
2015-05-01,13009
2015-05-02,12741
2015-05-03,12741
2015-05-04,12368
2015-05-05,12186
2015-05-06,11714
2015-05-07,11259
2015-05-08,10803
2015-05-09,10641
2015-05-10,10424
2015-05-11,10424
2015-05-12,10400
2015-05-13,10400
2015-05-14,10038
2015-05-15,9706
2015-05-16,9706
2015-05-17,9675
2015-05-18,9460
2015-05-19,9887
2015-05-20,9887
2015-05-21,10181
2015-05-22,10213
2015-05-23,9971
2015-05-24,9733
2015-05-25,9468
2015-05-26,9178
2015-05-27,9178
2015-05-28,8935
2015-05-29,8770
2015-05-30,8770
2015-05-31,8770
2015-06-01,8685
2015-06-02,8685
2015-06-03,8666
2015-06-04,8666
2015-06-05,8673
2015-06-06,8790
2015-06-07,8680
2015-06-08,8663
2015-06-09,8629
2015-06-10,8501
2015-06-11,8501
2015-06-12,8557
2015-06-13,8361
2015-06-14,8587
2015-06-15,8587
2015-06-16,8340
2015-06-17,8340
2015-06-18,8216
2015-06-19,8216
2015-06-20,8227
2015-06-21,8227
2015-06-22,8064
2015-06-23,8064
2015-06-24,7927
2015-06-25,7927
2015-06-26,7847
2015-06-27,7847
2015-06-28,7898
2015-06-29,7898
2015-06-30,7819
2015-07-01,7819
2015-07-02,7789
2015-07-03,7656
2015-07-04,7656
2015-07-05,7476
2015-07-06,7476
2015-07-07,7512
2015-07-08,7841
2015-07-09,7841
2015-07-10,8143
2015-07-11,8143
2015-07-12,7915
2015-07-13,7976
2015-07-14,7728
2015-07-15,7686
2015-07-16,7686
2015-07-17,7614
2015-07-18,7614
2015-07-19,7823
2015-07-20,8047
2015-07-21,8047
2015-07-22,8299
2015-07-23,8299
2015-07-24,8192
2015-07-25,8192
2015-07-26,8084
2015-07-27,8038
2015-07-28,8045
2015-07-29,8213
2015-07-30,8213
2015-07-31,8167
2015-08-01,8167
2015-08-02,8209
2015-08-03,8209
2015-08-04,8456
2015-08-05,8516
2015-08-06,8516
2015-08-07,8485
2015-08-08,8685
2015-08-09,8685
2015-08-10,8548
2015-08-11,8548
2015-08-12,8476
2015-08-13,8476
2015-08-14,8231
2015-08-15,8231
2015-08-16,8084
2015-08-17,7815
2015-08-18,7848
2015-08-19,8037
