date_obj,Lovakengj%20banner price
2016-07-06,4758958
2016-07-07,4758958
2016-07-08,4521010
2016-07-09,4521010
2016-07-10,4294959
2016-07-11,4294959
2016-07-12,4080211
2016-07-13,4080211
2016-07-14,3880962
2016-07-15,3880962
2016-07-16,3690136
2016-07-17,3690136
2016-07-18,3508743
2016-07-23,3175719
2016-07-24,3020821
2016-07-25,3020821
2016-07-26,2874479
2016-07-27,2874479
2016-07-28,2734306
2016-07-29,2734306
2016-07-30,2602983
2016-07-31,2602983
2016-08-01,2474817
2016-08-02,2352779
2016-08-03,2352779
2016-08-04,2236765
2016-08-05,2236765
2016-08-06,2127239
2016-08-07,2127239
2016-08-08,2023498
2016-08-09,2023498
2016-08-10,1925739
2016-08-11,1925739
2016-08-12,1925739
2016-08-13,1832919
2016-08-14,1832919
2016-08-15,1743249
2016-08-16,1743249
2016-08-17,1743249
2016-08-18,1658376
2016-08-19,1658376
2016-08-20,1577272
2016-08-21,1577272
2016-08-22,1577272
2016-08-23,1501076
2016-08-24,1501076
2016-08-25,1501076
2016-08-26,1501076
2016-08-28,1428878
2016-08-31,1358495
2016-09-01,1358495
2016-09-02,1358495
2016-09-03,1358495
2016-09-04,1292276
2016-09-05,1292276
2016-09-06,1292276
2016-09-07,1292276
2016-09-08,1229026
2016-09-09,1229026
2016-09-10,1229026
2016-09-11,1229026
2016-09-12,1168839
2016-09-13,1168839
2016-09-14,1168839
2016-09-15,1168839
2016-09-16,1168839
2016-09-17,1111530
2016-09-18,1111530
2016-09-19,1111530
2016-09-20,1111530
2016-09-21,1057239
2016-09-22,1057239
2016-09-23,1057239
2016-09-24,1057239
2016-09-25,1006020
2016-09-26,1006020
2016-09-27,1006020
2016-09-28,1006020
2016-09-29,1006020
2016-09-30,957996
2016-10-01,957996
2016-10-02,957996
2016-10-03,957996
2016-10-04,957996
2016-10-05,957996
2016-10-06,911861
2016-10-07,911861
2016-10-08,911861
2016-10-09,911861
2016-10-10,911861
2016-10-11,867271
2016-10-12,867271
2016-10-13,867271
2016-10-14,867271
2016-10-15,867271
2016-10-16,824801
2016-10-17,824801
2016-10-18,824801
2016-10-19,824801
2016-10-20,824801
2016-10-21,784679
2016-10-22,784679
2016-10-23,784679
2016-10-24,784679
2016-10-25,784679
2016-10-26,746287
2016-10-27,746287
2016-10-28,746287
2016-10-29,746287
2016-10-30,710415
2016-10-31,710415
2016-11-01,710415
2016-11-02,710415
2016-11-03,710415
2016-11-04,675837
2016-11-05,675837
2016-11-06,675837
2016-11-07,675837
2016-11-08,675837
2016-11-09,643416
2016-11-10,643416
2016-11-11,643416
2016-11-12,643416
2016-11-13,643416
2016-11-14,612470
2016-12-07,455832
2016-12-08,433371
2016-12-09,433371
2016-12-10,433371
2016-12-11,412557
2016-12-12,412557
2016-12-13,412557
2016-12-14,392505
2016-12-15,392505
2016-12-16,392505
2016-12-17,373598
2016-12-18,373598
2016-12-19,373598
2016-12-20,355763
2016-12-21,355763
2016-12-22,355763
2016-12-23,338628
2016-12-24,338628
2016-12-25,338628
2016-12-26,322185
2016-12-27,322185
2016-12-28,322185
2016-12-29,306308
2016-12-30,306308
2016-12-31,306308
2017-01-01,291704
2017-01-02,291704
2017-01-03,277641
2017-01-04,277641
2017-01-05,264597
2017-01-06,264597
2017-01-07,264597
2017-01-08,251617
2017-01-09,251617
2017-01-10,251617
2017-01-11,239631
2017-01-12,239631
2017-01-13,239631
2017-01-14,228216
2017-01-15,228216
2017-01-16,217201
2017-01-17,217201
2017-01-18,206793
2017-01-19,206793
2017-01-20,206793
2017-01-21,196855
2017-01-22,196855
2017-01-27,178302
2017-01-28,178302
2017-01-29,169675
2017-01-30,169675
2017-01-31,169675
2017-02-01,161362
2017-02-02,161362
2017-02-03,161362
2017-02-04,153517
2017-02-05,153517
2017-02-06,153517
2017-02-07,153517
2017-02-08,146119
2017-02-09,146119
2017-02-10,146119
2017-02-11,139058
2017-02-12,139058
2017-02-13,139058
2017-02-14,132549
2017-02-15,132549
2017-02-16,132549
2017-02-18,126242
2017-02-19,126242
2017-02-20,120129
2017-02-21,120129
2017-02-22,120129
2017-02-23,114276
2017-02-24,114276
2017-02-25,114276
2017-02-26,108804
2017-02-27,108804
2017-02-28,108804
2017-03-01,103485
2017-03-02,103485
2017-03-03,103485
2017-03-04,98672
2017-03-05,98672
2017-03-06,98672
2017-03-07,98672
2017-03-08,94047
2017-03-09,94047
2017-03-10,94047
2017-03-11,89568
2017-03-12,89568
2017-03-13,89568
2017-03-14,85329
2017-03-15,85329
2017-03-16,85329
2017-03-17,81170
2017-03-18,81170
2017-03-19,81170
2017-03-20,77282
2017-03-21,77282
2017-03-22,77282
2017-03-23,73528
2017-03-24,73528
2017-03-25,73528
2017-03-26,73528
2017-03-27,70002
2017-03-28,70002
2017-03-29,70002
2017-03-30,66679
2017-03-31,66679
2017-04-01,66679
2017-04-02,66679
2017-04-03,63423
2017-04-04,63423
2017-04-12,3000
2017-04-13,3000
2017-04-14,3000
2017-04-15,3000
2017-04-16,3000
2017-04-17,2869
2017-04-18,2869
2017-04-19,2869
2017-04-20,2869
2017-04-21,2869
2017-04-22,2869
2017-04-23,2739
2017-04-24,2739
2017-04-25,2739
2017-04-26,2739
2017-04-27,2739
2017-04-28,2739
2017-04-29,2610
2017-04-30,2610
2017-05-01,2610
2017-05-02,2610
2017-05-03,2610
2017-05-04,2610
2017-05-05,2485
2017-05-06,2485
2017-05-07,2485
2017-05-08,2485
2017-05-09,2485
2017-05-10,2485
2017-05-11,2367
2017-05-12,2367
2017-05-13,2367
2017-05-14,2367
2017-05-15,2367
2017-05-16,2254
2017-05-17,2254
2017-05-18,2254
2017-05-19,2254
2017-05-20,2254
2017-05-21,2254
2017-05-22,2148
2017-05-23,2148
2017-05-24,2148
2017-05-25,2148
2017-05-26,2148
2017-05-27,2148
2017-05-28,2046
2017-05-29,2046
2017-05-30,2046
2017-05-31,2046
2017-06-01,2046
2017-06-02,2046
2017-06-03,1952
2017-06-06,1952
2017-06-07,1858
2017-06-08,1858
2017-06-09,1858
2017-06-10,1858
2017-06-11,1787
2017-06-12,1787
2017-06-13,1787
2017-06-14,1787
2017-06-15,1787
2017-06-16,1787
2017-06-17,1787
2017-06-18,1712
2017-06-19,1712
2017-06-20,1712
2017-06-21,1712
2017-06-22,1712
2017-06-23,1712
2017-06-24,1712
2017-06-25,1712
2017-06-26,1712
2017-06-27,1638
2017-06-28,1638
2017-06-29,1638
2017-06-30,1638
2017-07-01,1638
2017-07-02,1638
2017-07-03,1638
2017-07-04,1638
2017-07-05,1638
2017-07-06,1561
2017-07-07,1561
2017-07-08,1561
2017-07-13,1561
2017-07-14,1487
2017-07-15,1487
2017-07-16,1487
2017-07-17,1487
2017-07-18,1487
2017-07-19,1487
2017-07-20,1487
2017-07-21,1487
2017-07-22,1417
2017-07-23,1417
2017-07-24,1417
2017-07-25,1417
2017-07-26,1417
2017-07-27,1417
2017-07-28,1417
2017-07-29,1350
2017-07-30,1350
2017-07-31,1350
2017-08-01,1350
2017-08-02,1350
2017-08-03,1350
2017-08-04,1350
2017-08-05,1286
2017-08-06,1286
2017-08-09,1286
2017-08-10,1286
2017-08-11,1286
2017-08-12,1227
2017-08-13,1227
2017-08-14,1227
2017-08-15,1227
2017-08-17,1227
2017-08-18,1227
2017-08-19,1189
2017-08-20,1189
2017-08-21,1189
2017-08-22,1189
2017-08-23,1189
2017-08-24,1189
2017-08-25,1189
2017-08-26,1156
2017-08-27,1156
2017-08-28,1156
2017-08-29,1156
2017-08-30,1156
2017-08-31,1156
2017-09-01,1156
2017-09-02,1138
2017-09-03,1138
2017-09-04,1138
2017-09-05,1138
2017-09-06,1138
2017-09-07,1138
2017-09-08,1138
2017-09-09,1138
2017-09-10,1094
2017-09-11,1094
2017-09-12,1094
2017-09-13,1094
2017-09-14,1094
2017-09-15,1094
2017-09-16,1094
2017-09-17,1058
2017-09-19,1058
2017-09-20,1058
2017-09-21,1058
2017-09-22,1058
2017-09-23,1058
2017-09-24,1032
2017-09-25,1032
2017-09-26,1032
2017-09-27,1032
2017-09-28,1032
2017-09-29,1032
2017-09-30,1032
