date_obj,Saw price
2015-03-26,278
2015-03-27,264
2015-03-28,269
2015-03-29,276
2015-03-30,285
2015-03-31,289
2015-04-01,297
2015-04-02,302
2015-04-03,309
2015-04-04,317
2015-04-05,302
2015-04-06,314
2015-04-07,326
2015-04-08,318
2015-04-09,330
2015-04-10,333
2015-04-11,336
2015-04-12,339
2015-04-13,350
2015-04-14,358
2015-04-15,355
2015-04-16,337
2015-04-17,321
2015-04-18,314
2015-04-19,318
2015-04-20,304
2015-04-21,301
2015-04-22,315
2015-04-23,329
2015-04-24,345
2015-04-25,346
2015-04-26,338
2015-04-27,326
2015-04-28,326
2015-04-29,342
2015-04-30,337
2015-05-01,338
2015-05-02,344
2015-05-03,337
2015-05-04,347
2015-05-05,353
2015-05-06,357
2015-05-07,359
2015-05-08,364
2015-05-09,372
2015-05-10,375
2015-05-11,356
2015-05-12,343
2015-05-13,326
2015-05-14,310
2015-05-15,294
2015-05-16,292
2015-05-17,300
2015-05-18,296
2015-05-19,304
2015-05-20,307
2015-05-21,314
2015-05-22,320
2015-05-23,323
2015-05-24,328
2015-05-25,337
2015-05-26,343
2015-05-27,342
2015-05-28,347
2015-05-29,348
2015-05-30,349
2015-05-31,334
2015-06-01,321
2015-06-02,311
2015-06-03,316
2015-06-04,324
2015-06-05,335
2015-06-06,338
2015-06-07,347
2015-06-08,351
2015-06-09,354
2015-06-10,359
2015-06-11,368
2015-06-12,376
2015-06-13,383
2015-06-14,366
2015-06-15,377
2015-06-16,372
2015-06-17,373
2015-06-18,376
2015-06-19,366
2015-06-20,368
2015-06-21,370
2015-06-22,362
2015-06-23,361
2015-06-24,347
2015-06-25,347
2015-06-26,333
2015-06-27,316
2015-06-28,313
2015-06-29,311
2015-06-30,307
2015-07-01,308
2015-07-02,308
2015-07-03,301
2015-07-04,308
2015-07-05,305
2015-07-06,319
2015-07-07,327
2015-07-08,321
2015-07-09,335
2015-07-10,338
2015-07-11,352
2015-07-12,361
2015-07-13,355
2015-07-14,348
2015-07-15,344
2015-07-16,348
2015-07-17,331
2015-07-18,321
2015-07-19,334
2015-07-20,331
2015-07-21,346
2015-07-22,361
2015-07-23,344
2015-07-24,340
2015-07-25,323
2015-07-26,334
2015-07-27,327
2015-07-28,323
2015-07-29,325
2015-07-30,327
2015-07-31,332
2015-08-01,329
2015-08-02,337
2015-08-03,326
2015-08-04,328
2015-08-05,339
2015-08-06,338
2015-08-07,343
2015-08-08,340
2015-08-09,337
2015-08-10,349
2015-08-11,348
2015-08-12,357
2015-08-13,360
2015-08-14,372
2015-08-15,376
2015-08-16,374
2015-08-17,382
2015-08-18,397
2015-08-19,394
2015-08-20,394
2015-08-21,399
2015-08-22,401
2015-08-23,389
2015-08-24,379
2015-08-25,388
2015-08-26,372
2015-08-27,378
2015-08-28,380
2015-08-29,378
2015-08-30,359
2015-08-31,365
2015-09-01,362
2015-09-02,343
2015-09-03,325
2015-09-04,308
2015-09-05,292
2015-09-06,277
2015-09-07,263
2015-09-08,249
2015-09-09,236
2015-09-10,224
2015-09-11,212
2015-09-12,216
2015-09-13,212
2015-09-14,207
2015-09-15,200
2015-09-16,204
2015-09-17,206
2015-09-18,212
2015-09-19,213
2015-09-20,214
2015-09-21,214
2015-09-22,222
2015-09-23,218
2015-09-24,222
2015-09-25,233
2015-09-27,237
2015-09-28,234
2015-09-29,222
2015-09-30,211
2015-10-05,165
2015-10-06,166
2015-10-07,157
2015-10-08,152
2015-10-09,157
2015-10-10,165
2015-10-11,169
2015-10-12,160
2015-10-13,158
2015-10-14,165
2015-10-15,171
2015-10-16,179
2015-10-17,187
2015-10-18,187
2015-10-19,193
2015-10-20,196
2015-10-22,207
2015-10-23,216
2015-10-24,211
2015-10-25,214
2015-10-26,210
2015-10-27,213
2015-10-29,212
2015-10-30,217
2015-10-31,221
2015-11-01,209
2015-11-02,204
2015-11-03,205
2015-11-04,203
2015-11-05,204
2015-11-06,203
2015-11-07,202
2015-11-08,202
2015-11-09,204
2015-11-10,195
2015-11-11,185
2015-11-12,182
2015-11-13,179
2015-11-14,186
2015-11-15,189
2015-11-16,194
2015-11-17,192
2015-11-18,202
2015-11-19,206
2015-11-20,209
2015-11-21,219
2015-11-22,224
2015-11-23,223
2015-11-24,232
2015-11-25,242
2015-11-26,251
2015-11-27,261
2015-11-28,270
2015-11-29,275
2015-11-30,279
2015-12-01,287
2015-12-02,293
2015-12-03,300
2015-12-04,286
2015-12-05,278
2015-12-06,290
2015-12-07,302
2015-12-08,299
2015-12-09,304
2015-12-10,315
2015-12-11,326
2015-12-12,316
2015-12-13,300
2015-12-14,285
2015-12-15,280
2015-12-16,270
2015-12-17,256
2015-12-18,252
2015-12-19,261
2015-12-20,262
2015-12-21,259
2015-12-22,255
2015-12-23,250
2015-12-24,250
2015-12-25,244
2015-12-26,240
2015-12-27,229
2015-12-28,239
2015-12-29,241
2015-12-30,240
2015-12-31,240
2016-01-01,239
2016-01-02,228
2016-01-03,222
2016-01-04,228
2016-01-05,236
2016-01-06,236
2016-01-07,229
2016-01-08,219
2016-01-09,217
2016-01-10,206
2016-01-11,198
2016-01-12,198
2016-01-13,198
2016-01-14,194
2016-01-15,201
2016-01-16,205
2016-01-17,209
2016-01-18,210
2016-01-19,199
