date_obj,Tormented%20ornament%20kit price
2019-04-11,20000000
2019-04-11,21000000
2019-04-12,22050000
2019-04-13,23152500
2019-04-14,24310125
2019-04-15,29000000
2019-04-16,29000000
2019-04-17,29000000
2019-04-18,29019617
2019-04-19,29019617
2019-04-20,29857535
2019-04-21,29857535
2019-04-22,29464126
2019-04-23,30119799
2019-04-24,30119799
2019-04-25,29788514
2019-04-26,29190869
2019-04-27,29190869
2019-04-28,28180954
2019-04-29,28180954
2019-04-30,26980462
2019-05-01,26980462
2019-05-02,25790904
2019-05-03,25479694
2019-05-04,25203628
2019-05-05,24884253
2019-05-06,24530937
2019-05-07,23872175
2019-05-08,23872175
2019-05-09,23605317
2019-05-10,24316922
2019-05-11,24244921
2019-05-12,24127378
2019-05-13,24518714
2019-05-14,24929212
2019-05-15,24929212
2019-05-16,25318748
2019-05-17,25318748
2019-05-18,25229833
2019-05-19,25229833
2019-05-20,25206574
2019-05-21,25206574
2019-05-22,24939277
2019-05-23,25102063
2019-05-24,25102063
2019-05-25,24984023
2019-05-26,24984023
2019-05-27,24680624
2019-05-28,23589184
2019-05-29,22467261
2019-05-30,21373692
2019-05-31,21373692
2019-06-01,20430585
2019-06-02,19477981
2019-06-03,18939437
2019-06-04,18183747
2019-06-05,17594535
2019-06-06,17167590
2019-06-07,17036773
2019-06-08,17233328
2019-06-09,18075921
2019-06-10,18075921
2019-06-11,18657812
2019-06-12,18828650
2019-06-13,18596851
2019-06-14,18861833
2019-06-15,18861833
2019-06-16,19406934
2019-06-17,19643348
2019-06-18,19173776
2019-06-19,18517318
2019-06-20,19034593
2019-06-21,19865834
2019-06-22,20736470
2019-06-23,21751764
2019-06-24,21446901
2019-06-25,20542408
2019-06-26,19938548
2019-06-27,19758134
2019-06-28,19758134
2019-06-29,20000938
2019-06-30,20181007
2019-07-01,20181007
2019-07-02,19535246
2019-07-03,19331244
2019-07-04,18859884
2019-07-05,18497531
2019-07-06,18374867
2019-07-07,18132149
2019-07-08,17360034
2019-07-09,16492032
2019-07-10,15667430
2019-07-11,14884058
2019-07-12,14255031
2019-07-13,14255031
2019-07-14,14790774
2019-07-15,14790774
2019-07-16,15258955
2019-07-17,15318799
2019-07-18,15316291
2019-07-19,15231535
2019-07-20,14829873
2019-07-21,14703938
2019-07-22,14501731
2019-07-23,14297537
2019-07-24,14142513
2019-07-25,13899646
2019-07-26,13945181
2019-07-27,14394219
2019-07-28,14960998
2019-07-29,15471130
2019-07-30,16228148
2019-07-31,16743201
2019-08-01,16727239
2019-08-02,16753958
2019-08-03,17063119
2019-08-04,17063119
2019-08-05,16809403
2019-08-06,16499988
2019-08-07,16477593
2019-08-08,16477593
2019-08-09,16332193
2019-08-10,16319534
2019-08-11,16743596
2019-08-12,16766949
2019-08-13,16793436
2019-08-14,16404376
2019-08-15,16008285
2019-08-16,15556895
2019-08-17,15556895
2019-08-18,15302924
2019-08-19,15350694
2019-08-20,15492105
2019-08-21,15398528
2019-08-22,15441545
2019-08-23,15519790
2019-08-24,15763856
2019-08-24,15763856
2019-08-25,15763856
2019-08-25,15763856
2019-08-26,15740418
2019-08-26,15740418
2019-08-27,15801274
2019-08-27,15801274
2019-08-28,15740829
2019-08-29,15604265
2019-08-30,15498835
2019-08-31,15603873
2019-09-01,15542255
2019-09-02,15542255
2019-09-03,15371408
2019-09-04,15201279
2019-09-05,15064474
