date_obj,Guthix%20platebody price
2015-03-26,68852
2015-03-27,68852
2015-03-28,65768
2015-03-29,65768
2015-03-30,62770
2015-03-31,62770
2015-04-01,62770
2015-04-02,59889
2015-04-03,59889
2015-04-04,57075
2015-04-05,57075
2015-04-06,57075
2015-04-07,54363
2015-04-08,54363
2015-04-09,54363
2015-04-10,51780
2015-04-11,51780
2015-04-12,49547
2015-04-13,49547
2015-04-14,49547
2015-04-15,48000
2015-04-16,48000
2015-04-17,48000
2015-04-18,46528
2015-04-19,46528
2015-04-20,46528
2015-04-21,45106
2015-04-22,45106
2015-04-23,45106
2015-04-24,43804
2015-04-25,43804
2015-04-26,43804
2015-04-27,43567
2015-04-28,43567
2015-04-29,43567
2015-04-30,43185
2015-05-01,43185
2015-05-02,43300
2015-05-03,43300
2015-05-04,43300
2015-05-05,42428
2015-05-06,42428
2015-05-07,42428
2015-05-08,42054
2015-05-09,42054
2015-05-10,42054
2015-05-11,41956
2015-05-12,41956
2015-05-13,41956
2015-05-14,42040
2015-05-15,42040
2015-05-16,42040
2015-05-17,42386
2015-05-18,42386
2015-05-19,42386
2015-05-20,42693
2015-05-21,42693
2015-05-22,42693
2015-05-23,43242
2015-05-24,43242
2015-05-25,43242
2015-05-26,44022
2015-05-27,44022
2015-05-28,44849
2015-05-29,44849
2015-05-30,44777
2015-05-31,44777
2015-06-01,44904
2015-06-02,44904
2015-06-03,45031
2015-06-04,45031
2015-06-05,44794
2015-06-06,44794
2015-06-07,44890
2015-06-08,44890
2015-06-09,45788
2015-06-10,45788
2015-06-11,46445
2015-06-12,46445
2015-06-13,45943
2015-06-14,45943
2015-06-15,46108
2015-06-16,46108
2015-06-17,47857
2015-06-18,47857
2015-06-19,46233
2015-06-20,46233
2015-06-21,45632
2015-06-22,45632
2015-06-23,45068
2015-06-24,45068
2015-06-25,45038
2015-06-26,45038
2015-06-27,45413
2015-06-28,45413
2015-06-29,45552
2015-06-30,45552
2015-07-01,45599
2015-07-02,45599
2015-07-03,45211
2015-07-04,45211
2015-07-05,45211
2015-07-06,44653
2015-07-07,44653
2015-07-08,44604
2015-07-09,44604
2015-07-10,44204
2015-07-11,44204
2015-07-12,44204
2015-07-13,43563
2015-07-14,43563
2015-07-15,43619
2015-07-16,43619
2015-07-17,43260
2015-07-18,43260
2015-07-19,43033
2015-07-20,43033
2015-07-21,43115
2015-07-22,44482
2015-07-23,44482
2015-07-24,45171
2015-07-25,45171
2015-07-26,45171
2015-07-27,45397
2015-07-28,45397
2015-07-29,45559
2015-07-30,45559
2015-07-31,45559
2015-08-01,44427
2015-08-02,44427
2015-08-03,44766
2015-08-04,44766
2015-08-05,44898
2015-08-06,44898
2015-08-07,44898
2015-08-08,47136
2015-08-09,47136
2015-08-10,47053
2015-08-11,47053
2015-08-12,46586
2015-08-13,46586
2015-08-14,45304
2015-08-15,45304
2015-08-16,44703
2015-08-17,44703
2015-08-18,44268
2015-08-19,44268
2015-08-20,44745
2015-08-21,44745
2015-08-22,43897
2015-08-23,43897
2015-08-24,42582
2015-08-25,42582
2015-08-26,42582
2015-08-27,42661
2015-08-28,42661
2015-08-29,42957
2015-08-30,42957
2015-08-31,43331
2015-09-01,43331
2015-09-02,43331
2015-09-03,43951
2015-09-04,43951
2015-09-05,42969
2015-09-06,42969
2015-09-07,42718
2015-09-08,42718
2015-09-09,42853
2015-09-10,42853
2015-09-11,42862
2015-09-12,42862
2015-09-13,43239
2015-09-14,43239
2015-09-15,43158
2015-09-16,43158
2015-09-17,42551
2015-09-18,42551
2015-09-19,42551
2015-09-20,42183
2015-09-21,42183
2015-09-22,41845
2015-09-23,41845
2015-09-24,42014
2015-09-25,42014
2015-09-27,41847
2015-09-28,42213
2015-09-29,42213
2015-09-30,42850
2015-10-05,43923
2015-10-06,44893
2015-10-07,44893
2015-10-08,44893
2015-10-09,46016
2015-10-10,46016
2015-10-11,46120
2015-10-12,46120
2015-10-13,46120
2015-10-14,46264
2015-10-15,46264
2015-10-16,46151
2015-10-17,46151
2015-10-18,46151
2015-10-19,46444
2015-10-20,46444
2015-10-22,46084
2015-10-23,45481
2015-10-24,45481
2015-10-25,44405
2015-10-26,44405
2015-10-27,44405
2015-10-29,43951
2015-10-30,44005
2015-10-31,44005
2015-11-01,43378
2015-11-02,43378
2015-11-03,43072
2015-11-04,43072
2015-11-05,43065
2015-11-06,43065
2015-11-07,42883
2015-11-08,42883
2015-11-09,42883
2015-11-10,43582
2015-11-11,43582
2015-11-12,43709
2015-11-13,43709
2015-11-14,43709
2015-11-15,43558
2015-11-16,43558
2015-11-17,43558
2015-11-18,44365
2015-11-19,44365
2015-11-20,45017
2015-11-21,45017
2015-11-22,44837
2015-11-23,44837
2015-11-24,44837
2015-11-25,44338
2015-11-26,44338
2015-11-27,44338
2015-11-28,43805
2015-11-29,43805
2015-11-30,44260
2015-12-01,44260
2015-12-02,44820
2015-12-03,44820
2015-12-04,44258
2015-12-05,44258
2015-12-06,43516
2015-12-07,43516
2015-12-08,43516
2015-12-09,44042
2015-12-10,44042
2015-12-11,44588
2015-12-12,44588
2015-12-13,44799
2015-12-14,44799
2015-12-15,45397
2015-12-16,45397
2015-12-17,45326
2015-12-18,45326
2015-12-19,46297
2015-12-20,46297
2015-12-21,46941
2015-12-22,46941
2015-12-23,46886
2015-12-24,46886
2015-12-25,45663
2015-12-26,45663
2015-12-27,46142
2015-12-28,46142
2015-12-29,47461
2015-12-30,47461
2015-12-31,48307
2016-01-01,48307
2016-01-02,48307
2016-01-03,47820
2016-01-04,47820
2016-01-05,47438
2016-01-06,47438
2016-01-07,48196
2016-01-08,48196
2016-01-09,48053
2016-01-10,48053
2016-01-11,46904
2016-01-12,46904
2016-01-13,46440
2016-01-14,46440
2016-01-15,44686
2016-01-16,44686
2016-01-17,43859
2016-01-18,43859
2016-01-19,44304
2016-01-20,44304
2016-01-21,44705
2016-01-22,44705
2016-01-23,44486
2016-01-24,44486
2016-01-25,43707
2016-01-26,43707
2016-01-27,44117
2016-01-28,44117
2016-01-29,43871
2016-01-30,43871
2016-01-31,44313
2016-02-01,44313
2016-02-02,44530
2016-02-03,44530
2016-02-04,45217
2016-02-05,45217
2016-02-06,45482
2016-02-07,45482
2016-02-08,45092
2016-02-09,45092
2016-02-10,45716
2016-02-11,45716
2016-02-12,45716
2016-02-13,46096
2016-02-14,46096
2016-02-15,46415
2016-02-16,46415
2016-02-17,45659
2016-02-18,45659
2016-02-19,45674
2016-02-20,45674
2016-02-21,44792
2016-02-22,44792
2016-02-23,44683
2016-02-24,44683
2016-02-25,44428
2016-02-26,44428
2016-02-27,44439
2016-02-28,44439
2016-02-29,44736
2016-03-01,44736
2016-03-02,45173
2016-03-03,45173
2016-03-04,45837
2016-03-05,45837
2016-03-06,45387
2016-03-07,45387
2016-03-08,45111
2016-03-09,45111
2016-03-10,45090
2016-03-11,45090
2016-03-12,44557
2016-03-13,44557
2016-03-14,44679
2016-03-15,44679
2016-03-16,44586
2016-03-17,44586
2016-03-18,44127
2016-03-19,44127
2016-03-20,44358
2016-03-21,44358
2016-03-22,44358
2016-03-23,44996
2016-03-24,44996
2016-03-25,45313
2016-03-26,45313
2016-03-27,44480
2016-03-28,43691
2016-03-29,43691
2016-03-30,43691
2016-03-31,43759
2016-04-01,43759
2016-04-02,43404
2016-04-03,43404
2016-04-04,42536
2016-04-05,42536
2016-04-06,41973
2016-04-07,41973
2016-04-08,42406
2016-04-09,42406
