date_obj,Berserker%20ring price
2015-03-26,3159882
2015-03-27,3137474
2015-03-28,3117180
2015-03-29,3091357
2015-03-30,3155219
2015-03-31,3207147
2015-04-01,3281396
2015-04-02,3379370
2015-04-03,3449452
2015-04-04,3481695
2015-04-05,3521264
2015-04-06,3529727
2015-04-07,3533095
2015-04-08,3508314
2015-04-09,3441525
2015-04-10,3442459
2015-04-11,3460490
2015-04-12,3457721
2015-04-13,3409001
2015-04-14,3400734
2015-04-15,3403791
2015-04-16,3446341
2015-04-17,3468620
2015-04-18,3502730
2015-04-19,3520058
2015-04-20,3519467
2015-04-21,3502950
2015-04-22,3512738
2015-04-23,3522155
2015-04-24,3560090
2015-04-25,3593166
2015-04-26,3608143
2015-04-27,3583745
2015-04-28,3556817
2015-04-29,3538393
2015-04-30,3568086
2015-05-01,3609876
2015-05-02,3598952
2015-05-03,3586663
2015-05-04,3553032
2015-05-05,3538639
2015-05-06,3522175
2015-05-07,3503558
2015-05-08,3495954
2015-05-09,3486204
2015-05-10,3488618
2015-05-11,3469267
2015-05-12,3409522
2015-05-13,3367896
2015-05-14,3312420
2015-05-15,3295044
2015-05-16,3283566
2015-05-17,3275745
2015-05-18,3269196
2015-05-19,3314671
2015-05-20,3338222
2015-05-21,3359957
2015-05-22,3395505
2015-05-23,3419551
2015-05-24,3442781
2015-05-25,3460712
2015-05-26,3458567
2015-05-27,3468949
2015-05-28,3463895
2015-05-29,3464738
2015-05-30,3461525
2015-05-31,3458091
2015-06-01,3438202
2015-06-02,3443819
2015-06-03,3444765
2015-06-04,3500177
2015-06-05,3547612
2015-06-06,3588675
2015-06-07,3607862
2015-06-08,3596630
2015-06-09,3575224
2015-06-10,3543739
2015-06-11,3516233
2015-06-12,3485447
2015-06-13,3483874
2015-06-14,3465420
2015-06-15,3440819
2015-06-16,3398885
2015-06-17,3331850
2015-06-18,3225391
2015-06-19,3157285
2015-06-20,3107380
2015-06-21,3024959
2015-06-22,3001734
2015-06-23,3000027
2015-06-24,2980402
2015-06-25,2960933
2015-06-26,3032978
2015-06-27,3143316
2015-06-28,3147568
2015-06-29,3138189
2015-06-30,3114765
2015-07-01,3133812
2015-07-02,3149751
2015-07-03,3249272
2015-07-04,3277833
2015-07-05,3249481
2015-07-06,3248918
2015-07-07,3205716
2015-07-08,3217998
2015-07-09,3236156
2015-07-10,3248834
2015-07-11,3317970
2015-07-12,3311812
2015-07-13,3277315
2015-07-14,3264523
2015-07-15,3260559
2015-07-16,3261632
2015-07-17,3276147
2015-07-18,3320506
2015-07-19,3352456
2015-07-20,3374016
2015-07-21,3334785
2015-07-22,3336137
2015-07-23,3338877
2015-07-24,3364949
2015-07-25,3478983
2015-07-26,3542001
2015-07-27,3558162
2015-07-28,3541624
2015-07-29,3529045
2015-07-30,3522736
2015-07-31,3528400
2015-08-01,3556517
2015-08-02,3570957
2015-08-03,3547265
2015-08-04,3558675
2015-08-05,3528428
2015-08-06,3457934
2015-08-07,3458095
2015-08-08,3438206
2015-08-09,3419262
2015-08-10,3425582
2015-08-11,3457899
2015-08-12,3435904
2015-08-13,3427443
2015-08-14,3409453
2015-08-15,3423778
2015-08-16,3432210
