date_obj,Fury%20ornament%20kit price
2015-03-26,6965335
2015-03-27,6965335
2015-03-28,7096815
2015-03-29,7297241
2015-03-30,7406688
2015-03-31,7466562
2015-04-01,7324442
2015-04-02,7237245
2015-04-03,7248375
2015-04-04,7241796
2015-04-05,7241796
2015-04-06,7238313
2015-04-07,7163751
2015-04-08,7163751
2015-04-09,7268394
2015-04-10,7417117
2015-04-11,7440884
2015-04-12,7366432
2015-04-13,7379815
2015-04-14,7379815
2015-04-15,7241196
2015-04-16,7185553
2015-04-17,7453010
2015-04-18,7588846
2015-04-19,7534849
2015-04-20,7556227
2015-04-21,7526673
2015-04-22,7511476
2015-04-23,7423638
2015-04-24,7613003
2015-04-25,7740269
2015-04-26,7690893
2015-04-27,7530769
2015-04-28,7485825
2015-04-29,7485825
2015-04-30,7505916
2015-05-01,7370503
2015-05-02,7304760
2015-05-03,7304760
2015-05-04,7195775
2015-05-05,7075431
2015-05-06,6923464
2015-05-07,6605032
2015-05-08,6288657
2015-05-09,6357117
2015-05-10,6373119
2015-05-11,6244782
2015-05-12,6282842
2015-05-13,6249521
2015-05-14,6043393
2015-05-15,5852996
2015-05-16,5655625
2015-05-17,5390241
2015-05-18,5120728
2015-05-19,4897929
2015-05-20,4672597
2015-05-21,4528054
2015-05-22,4484465
2015-05-23,4541870
2015-05-24,4740845
2015-05-25,4859696
2015-05-26,5020731
2015-05-27,5271768
2015-05-28,5533041
2015-05-29,5809647
2015-05-30,6095305
2015-05-31,6317712
2015-06-01,6301275
2015-06-02,6109132
2015-06-03,6071752
2015-06-04,6079390
2015-06-05,6127600
2015-06-06,6150618
2015-06-07,6151757
2015-06-08,6153460
2015-06-09,6141652
2015-06-10,6220415
2015-06-11,6221435
2015-06-12,6300453
2015-06-13,6508767
2015-06-14,6671073
2015-06-15,6916593
2015-06-16,7097552
2015-06-17,7038376
2015-06-18,7168290
2015-06-19,7275005
2015-06-20,7296305
2015-06-21,7295610
2015-06-22,7376413
2015-06-23,7047262
2015-06-24,6752068
2015-06-25,6458417
2015-06-26,6474718
2015-06-27,6778674
2015-06-28,7028965
2015-06-29,7278536
2015-06-30,7533393
2015-07-01,7761254
2015-07-02,7864591
2015-07-03,8008667
2015-07-04,7993563
2015-07-05,7922382
2015-07-06,7793974
2015-07-07,7847814
2015-07-08,7963293
2015-07-09,8183619
2015-07-10,8294039
2015-07-11,8366568
2015-07-12,8332355
2015-07-13,8259168
2015-07-14,8157507
2015-07-15,8239059
2015-07-16,8297484
2015-07-17,8417914
2015-07-18,8642053
2015-07-19,8924201
2015-07-20,9284108
2015-07-21,9575771
2015-07-22,9471958
2015-07-23,9237791
2015-07-24,9006088
2015-07-25,9036450
2015-07-26,8846345
2015-07-27,9034518
2015-07-28,9109424
2015-07-29,9198040
2015-07-30,9365069
2015-07-31,9410498
2015-08-01,9673060
2015-08-02,9977553
2015-08-03,9831978
2015-08-04,9823959
2015-08-05,9945129
2015-08-06,10309705
2015-08-07,10539043
2015-08-08,10532892
2015-08-09,10681778
2015-08-10,10683523
2015-08-11,10535751
2015-08-12,10331893
2015-08-13,10125741
2015-08-14,10106575
2015-08-15,10218846
2015-08-16,10079350
2015-08-17,10009638
2015-08-18,9936843
2015-08-19,9818790
2015-08-20,9813585
2015-08-21,10063356
2015-08-22,10511326
2015-08-23,10763255
2015-08-24,10605988
2015-08-25,10605988
2015-08-26,10601623
2015-08-27,10530679
2015-08-28,10626953
2015-08-29,10698441
2015-08-30,10727095
2015-08-31,10710212
2015-09-01,10650887
2015-09-02,10695733
2015-09-03,10710381
2015-09-04,10821092
2015-09-05,10931801
