date_obj,Bronze%20gold-trimmed%20set%20(lg) price
2015-03-26,640971
2015-03-27,640971
2015-03-28,640971
2015-03-29,640971
2015-03-30,609833
2015-03-31,609833
2015-04-01,609833
2015-04-02,609833
2015-04-03,609833
2015-04-04,609833
2015-04-05,609833
2015-04-06,609833
2015-04-07,580561
2015-04-08,580561
2015-04-09,580561
2015-04-10,580561
2015-04-11,580561
2015-04-12,580561
2015-04-13,580561
2015-04-14,580561
2015-04-15,580561
2015-04-16,552130
2015-04-17,552130
2015-04-18,552130
2015-04-19,552130
2015-04-20,552130
2015-04-21,552130
2015-04-22,552130
2015-04-23,552130
2015-04-24,552130
2015-04-25,525416
2015-04-26,525416
2015-04-27,525416
2015-04-28,525416
2015-04-29,525416
2015-04-30,525416
2015-05-01,525416
2015-05-02,525416
2015-05-03,525416
2015-05-04,499749
2015-05-05,499749
2015-05-06,499749
2015-05-07,499749
2015-05-08,499749
2015-05-09,499749
2015-05-10,499749
2015-05-11,499749
2015-05-12,499749
2015-05-13,475421
2015-05-14,475421
2015-05-15,475421
2015-05-16,475421
2015-05-17,475421
2015-05-18,475421
2015-05-19,475421
2015-05-20,475421
2015-05-21,452320
2015-05-22,452320
2015-05-23,452320
2015-05-24,452320
2015-05-25,452320
2015-05-26,452320
2015-05-27,452320
2015-05-28,429704
2015-05-29,429704
2015-05-30,429704
2015-05-31,429704
2015-06-01,409329
2015-06-02,409329
2015-06-03,409329
2015-06-04,409329
2015-06-05,409329
2015-06-06,389693
2015-06-07,389693
2015-06-08,389693
2015-06-09,389693
2015-06-10,370789
2015-06-11,370789
2015-06-12,370789
2015-06-13,370789
2015-06-14,370789
2015-06-15,352991
2015-06-16,352991
2015-06-17,352991
2015-06-18,352991
2015-06-19,352991
2015-06-20,337249
2015-06-21,337249
2015-06-22,337249
2015-06-23,337249
2015-06-24,337249
2015-06-25,332766
2015-06-26,332766
2015-06-27,332766
2015-06-28,332766
2015-06-29,332766
2015-06-30,327790
2015-07-01,327790
2015-07-02,327790
2015-07-03,327790
2015-07-04,327790
2015-07-05,329137
2015-07-06,329137
2015-07-07,329137
2015-07-08,329137
2015-07-09,329137
2015-07-10,338892
2015-07-11,338892
2015-07-12,338892
2015-07-13,338892
