date_obj,Fish%20offcuts price
2015-03-26,191
2015-03-27,191
2015-03-28,191
2015-03-29,191
2015-03-30,191
2015-03-31,191
2015-04-01,191
2015-04-02,191
2015-04-03,191
2015-04-04,191
2015-04-05,191
2015-04-06,191
2015-04-07,191
2015-04-08,191
2015-04-09,191
2015-04-10,191
2015-04-11,191
2015-04-12,191
2015-04-13,191
2015-04-14,191
2015-04-15,191
2015-04-16,191
2015-04-17,191
2015-04-18,191
2015-04-19,181
2015-04-20,181
2015-04-21,181
2015-04-22,181
2015-04-23,181
2015-04-24,181
2015-04-25,181
2015-04-26,181
2015-04-27,181
2015-04-28,181
2015-04-29,181
2015-04-30,181
2015-05-01,181
2015-05-02,181
2015-05-03,181
2015-05-04,181
2015-05-05,181
2015-05-06,181
2015-05-07,181
2015-05-08,181
2015-05-09,181
2015-05-10,181
2015-05-11,181
2015-05-12,181
2015-05-13,181
2015-05-14,181
2015-05-15,181
2015-05-16,181
2015-05-17,181
2015-05-18,181
2015-05-19,181
2015-05-20,181
2015-05-21,172
2015-05-22,172
2015-05-23,172
2015-05-24,172
2015-05-25,172
2015-05-26,172
2015-05-27,172
2015-05-28,172
2015-05-29,172
2015-05-30,172
2015-05-31,172
2015-06-01,172
2015-06-02,172
2015-06-03,172
2015-06-04,172
2015-06-05,172
2015-06-06,172
2015-06-07,172
2015-06-08,172
2015-06-09,172
2015-06-10,172
2015-06-11,172
2015-06-12,172
2015-06-13,172
2015-06-14,163
2015-06-15,163
2015-06-16,163
2015-06-17,163
2015-06-18,163
2015-06-19,163
2015-06-20,163
2015-06-21,163
2015-06-22,163
2015-06-23,163
2015-06-24,163
2015-06-25,163
2015-06-26,163
2015-06-27,163
2015-06-28,163
2015-06-29,163
2015-06-30,163
2015-07-01,163
2015-07-02,163
2015-07-03,163
2015-07-04,163
2015-07-05,163
2015-07-06,163
2015-07-07,163
2015-07-08,163
2015-07-09,154
2015-07-10,154
2015-07-11,154
2015-07-12,154
2015-07-13,154
2015-07-14,154
2015-07-15,154
2015-07-16,154
2015-07-17,154
2015-07-18,154
2015-07-19,154
2015-07-20,154
2015-07-21,154
2015-07-22,154
2015-07-23,154
2015-07-24,154
2015-07-25,154
