date_obj,Garden%20pie price
2016-02-27,960
2016-02-28,960
2016-02-29,931
2016-03-01,931
2016-03-02,931
2016-03-03,953
2016-03-04,953
2016-03-05,953
2016-03-06,953
2016-03-07,953
2016-03-08,953
2016-03-09,953
2016-03-10,971
2016-03-11,971
2016-03-12,971
2016-03-13,971
2016-03-14,1002
2016-03-15,1002
2016-03-16,1002
2016-03-17,953
2016-03-18,953
2016-03-19,953
2016-03-20,939
2016-03-21,939
2016-03-22,939
2016-03-23,939
2016-03-24,908
2016-03-25,908
2016-03-26,908
2016-03-27,863
2016-03-28,863
2016-03-29,863
2016-03-30,862
2016-03-31,862
2016-04-01,862
2016-04-02,862
2016-04-03,874
2016-04-04,874
2016-04-05,874
2016-04-06,887
2016-04-07,887
2016-04-08,887
2016-04-09,929
2016-04-10,929
2016-04-11,929
2016-04-12,946
2016-04-13,946
2016-04-14,946
2016-04-15,946
2016-04-16,956
2016-04-17,956
2016-04-18,956
2016-04-19,953
2016-04-20,953
2016-04-21,953
2016-04-22,989
2016-04-23,989
2016-04-24,987
2016-04-25,987
2016-04-26,1004
2016-04-27,1004
2016-04-28,1004
2016-04-29,998
2016-04-30,998
2016-05-01,998
2016-05-02,980
2016-05-03,980
2016-05-04,980
2016-05-05,978
2016-05-06,978
2016-05-07,978
2016-05-08,959
2016-05-09,959
2016-05-10,953
2016-05-11,953
2016-05-12,953
2016-05-13,953
2016-05-14,953
2016-05-15,950
2016-05-16,950
2016-05-17,950
2016-05-18,954
2016-05-19,954
2016-05-22,951
2016-05-23,932
2016-05-24,932
2016-05-25,932
2016-05-26,924
2016-05-27,924
2016-05-28,900
2016-05-29,900
2016-05-30,900
2016-05-31,863
2016-06-01,863
2016-06-02,845
2016-06-03,845
2016-06-04,845
2016-06-05,811
2016-06-06,811
2016-06-07,828
2016-06-08,828
2016-06-09,837
2016-06-10,837
2016-06-11,848
2016-06-12,848
2016-06-13,841
2016-06-14,841
2016-06-15,867
2016-06-16,867
2016-06-17,874
2016-06-18,874
2016-06-19,844
2016-06-20,844
2016-06-21,827
2016-06-22,827
2016-06-23,836
2016-06-24,836
2016-06-25,812
2016-06-26,812
2016-06-27,812
2016-06-28,780
2016-06-29,780
2016-06-30,741
2016-07-01,741
2016-07-02,705
2016-07-03,705
2016-07-04,690
