date_obj,Bandana%20eyepatch%20(white) price
2015-03-05,73000
2015-03-06,73000
2015-03-07,73000
2015-03-08,73000
2015-03-09,73000
2015-03-10,73000
2015-03-11,73000
2015-03-12,73000
2015-03-13,73000
2015-03-14,73000
2015-03-15,73000
2015-03-16,73000
2015-03-17,73000
2015-03-18,73000
2015-03-19,73000
2015-03-20,73000
2015-03-21,73000
2015-03-22,73000
2015-03-23,73000
2015-03-24,73000
2015-03-25,73000
2015-03-26,73000
2015-03-27,73000
2015-03-28,73000
2015-03-29,73000
2015-03-30,73000
2015-03-31,73000
2015-04-01,73000
2015-04-02,73000
2015-04-03,73000
2015-04-04,73000
2015-04-05,73000
2015-04-06,73000
2015-04-07,73000
2015-04-08,73000
2015-04-09,73000
2015-04-10,73000
2015-04-11,73000
2015-04-12,73000
2015-04-13,73000
2015-04-14,73000
2015-04-15,73000
2015-04-16,73000
2015-04-17,73000
2015-04-18,73000
2015-04-19,73000
2015-04-20,73000
2015-04-21,73000
2015-04-22,73000
2015-04-23,73000
2015-04-24,73000
2015-04-25,73000
2015-04-26,73000
2015-04-27,73000
2015-04-28,73000
2015-04-29,73000
2015-04-30,73000
2015-05-01,73000
2015-05-02,73000
2015-05-03,73000
2015-05-04,73000
2015-05-05,73000
2015-05-06,73000
2015-05-07,73000
2015-05-08,73000
2015-05-09,73000
2015-05-10,73000
2015-05-11,73000
2015-05-12,73000
2015-05-13,73000
2015-05-14,73000
2015-05-15,73000
2015-05-16,73000
2015-05-17,73000
2015-05-18,73000
2015-05-19,73000
2015-05-20,73000
2015-05-21,73000
2015-05-22,73000
2015-05-23,73000
2015-05-24,73000
2015-05-25,73000
2015-05-26,73000
2015-05-27,73000
2015-05-28,69451
2015-05-29,69451
2015-05-30,69451
2015-05-31,69451
2015-06-01,69451
2015-06-02,69451
2015-06-03,69451
2015-06-04,69451
2015-06-05,69451
2015-06-06,69451
2015-06-07,69451
2015-06-08,69451
2015-06-09,69451
2015-06-10,69451
2015-06-11,69451
2015-06-12,69451
2015-06-13,69451
2015-06-14,69451
2015-06-15,69451
2015-06-16,69451
2015-06-17,69451
2015-06-18,69451
2015-06-19,69451
2015-06-20,69451
2015-06-21,69451
2015-06-22,69451
2015-06-23,69451
2015-06-24,69451
2015-06-25,69451
2015-06-26,69451
2015-06-27,69451
2015-06-28,69451
2015-06-29,69451
2015-06-30,69451
2015-07-01,69451
2015-07-02,69451
2015-07-03,69451
2015-07-04,69451
2015-07-05,69451
2015-07-06,69451
2015-07-07,69451
2015-07-08,69451
2015-07-09,69451
2015-07-10,69451
2015-07-11,69451
2015-07-12,69451
2015-07-13,69451
2015-07-14,69451
2015-07-15,69451
2015-07-16,69451
2015-07-17,69451
2015-07-18,69451
2015-07-19,69451
2015-07-20,69451
2015-07-21,69451
2015-07-22,69451
2015-07-23,69451
2015-07-24,69451
2015-07-25,69451
2015-07-26,69451
2015-07-27,69451
2015-07-28,69451
2015-07-29,69451
2015-07-30,69451
2015-07-31,69451
2015-08-01,69451
2015-08-02,69451
2015-08-03,69451
2015-08-04,69451
2015-08-05,69451
2015-08-06,69451
2015-08-07,69451
2015-08-08,69451
2015-08-09,69451
2015-08-10,69451
2015-08-11,69451
2015-08-12,69451
2015-08-13,69451
2015-08-14,69451
2015-08-15,69451
2015-08-16,69451
2015-08-17,69451
2015-08-18,69451
2015-08-19,69451
2015-08-20,69451
2015-08-21,69451
2015-08-22,69451
2015-08-23,69451
2015-08-24,69451
2015-08-25,69451
2015-08-26,69451
2015-08-27,69451
2015-08-28,69451
2015-08-29,69451
2015-08-30,69451
2015-08-31,69451
2015-09-02,69451
2015-09-07,69451
2015-09-08,69451
2015-09-10,69451
2015-09-14,69451
2015-09-16,69451
2015-09-22,66028
2015-09-23,66028
2015-09-24,66028
2015-09-25,66028
2015-09-27,66028
2015-09-28,66028
2015-09-29,66028
2015-09-30,66028
2015-10-05,66028
2015-10-06,66028
2015-10-07,66028
2015-10-08,66028
2015-10-09,66028
2015-10-10,66028
2015-10-11,66028
2015-10-12,66028
2015-10-13,66028
2015-10-14,66028
2015-10-15,66028
2015-10-16,66028
2015-10-17,66028
2015-10-18,66028
2015-10-19,66028
2015-10-20,66028
2015-10-22,66028
2015-10-23,66028
2015-10-24,66028
2015-10-25,66028
