date_obj,Black%20gold-trimmed%20set%20(sk) price
2015-03-26,165139
2015-03-27,165139
2015-03-28,165139
2015-03-29,165139
2015-03-30,165139
2015-03-31,165139
2015-04-01,165139
2015-04-02,165139
2015-04-03,165139
2015-04-04,165139
2015-04-05,165139
2015-04-06,165139
2015-04-07,165139
2015-04-08,165139
2015-04-09,165139
2015-04-10,165139
2015-04-11,165139
2015-04-12,165139
2015-04-13,165139
2015-04-14,165139
2015-04-15,165139
2015-04-16,165139
2015-04-17,165139
2015-04-18,165139
2015-04-19,165139
2015-04-20,165139
2015-04-21,165139
2015-04-22,165139
2015-04-23,165139
2015-04-24,165139
2015-04-25,165139
2015-04-26,165139
2015-04-27,165139
2015-04-28,165139
2015-04-29,165139
2015-04-30,165139
2015-05-01,165139
2015-05-02,165139
2015-05-03,165139
2015-05-04,171070
2015-05-05,171070
2015-05-06,171070
2015-05-07,171070
2015-05-08,171070
2015-05-09,171070
2015-05-10,171070
2015-05-11,171070
2015-05-12,171070
2015-05-13,171070
2015-05-14,171070
2015-05-15,171070
2015-05-16,171070
2015-05-17,171070
2015-05-18,171070
2015-05-19,171070
2015-05-20,171070
2015-05-21,171070
2015-05-22,171070
2015-05-23,171070
2015-05-24,171070
2015-05-25,171070
2015-05-26,171070
2015-05-27,171070
2015-05-28,171070
2015-05-29,171070
2015-05-30,171070
2015-05-31,171070
2015-06-01,171070
2015-06-02,171070
2015-06-03,171070
2015-06-04,171070
2015-06-05,177579
2015-06-06,177579
2015-06-07,177579
2015-06-08,177579
2015-06-09,177579
2015-06-10,177579
2015-06-11,177579
2015-06-12,177579
2015-06-13,177579
2015-06-14,177579
2015-06-15,177579
2015-06-16,177579
2015-06-17,177579
2015-06-18,177579
2015-06-19,177579
2015-06-20,177579
2015-06-21,177579
2015-06-22,177579
2015-06-23,177579
2015-06-24,177579
2015-06-25,177579
2015-06-26,177579
2015-06-27,177579
2015-06-28,177579
2015-06-29,177579
2015-06-30,177579
2015-07-01,177579
2015-07-02,177579
2015-07-03,177579
2015-07-04,177579
2015-07-05,184379
2015-07-06,184379
2015-07-07,184379
2015-07-08,184379
2015-07-09,184379
2015-07-10,184379
2015-07-11,184379
2015-07-12,184379
2015-07-13,184379
2015-07-14,184379
2015-07-15,184379
2015-07-16,184379
2015-07-17,184379
2015-07-18,184379
2015-07-19,184379
2015-07-20,184379
2015-07-21,184379
2015-07-22,184379
2015-07-23,184379
2015-07-24,184379
2015-07-25,184379
2015-07-26,184379
2015-07-27,184379
2015-07-28,184379
2015-07-29,184379
2015-07-30,184379
2015-07-31,184379
2015-08-01,184379
2015-08-02,192096
2015-08-03,192096
2015-08-04,192096
2015-08-05,192096
2015-08-06,192096
2015-08-07,192096
2015-08-08,192096
2015-08-09,192096
2015-08-10,192096
2015-08-11,192096
2015-08-12,192096
2015-08-13,192096
2015-08-14,192096
2015-08-15,192096
2015-08-16,192096
2015-08-17,192096
2015-08-18,192096
2015-08-19,192096
2015-08-20,192096
2015-08-21,192096
2015-08-22,192096
2015-08-23,192096
2015-08-24,192096
2015-08-25,192096
2015-08-26,192096
2015-08-27,192096
2015-08-28,192096
2015-08-29,192096
2015-08-30,192096
2015-08-31,192096
2015-09-01,199713
2015-09-02,199713
2015-09-03,199713
2015-09-04,199713
2015-09-05,199713
2015-09-06,199713
2015-09-07,199713
2015-09-08,199713
2015-09-09,199713
2015-09-10,199713
2015-09-11,199713
2015-09-12,199713
2015-09-13,199713
2015-09-14,199713
2015-09-15,199713
2015-09-16,199713
2015-09-17,199713
2015-09-18,199713
2015-09-19,199713
2015-09-20,199713
2015-09-21,199713
2015-09-22,199713
2015-09-23,199713
2015-09-24,199713
2015-09-25,199713
2015-09-27,199713
2015-09-28,199713
2015-09-29,199713
2015-09-30,207880
2015-10-05,207880
2015-10-06,207880
2015-10-07,207880
2015-10-08,207880
2015-10-09,207880
2015-10-10,207880
2015-10-11,207880
2015-10-12,207880
2015-10-13,207880
2015-10-14,207880
2015-10-15,207880
2015-10-16,207880
2015-10-17,207880
2015-10-18,207880
2015-10-19,207880
2015-10-20,207880
2015-10-22,207880
2015-10-23,207880
2015-10-24,207880
2015-10-25,207880
2015-10-26,207880
2015-10-27,207880
2015-10-29,207880
2015-10-30,207880
2015-10-31,207880
2015-11-01,207880
2015-11-02,215816
2015-11-03,215816
2015-11-04,215816
2015-11-05,215816
2015-11-06,215816
2015-11-07,215816
2015-11-08,215816
2015-11-09,215816
2015-11-10,215816
2015-11-11,215816
2015-11-12,215816
2015-11-13,215816
2015-11-14,215816
2015-11-15,215816
2015-11-16,215816
2015-11-17,215816
2015-11-18,215816
2015-11-20,215816
2015-11-21,215816
2015-11-22,215816
2015-11-23,215816
2015-11-24,215816
2015-11-25,215816
2015-11-26,215816
2015-11-27,215816
2015-11-28,215816
2015-11-29,224820
2015-11-30,224820
2015-12-01,224820
2015-12-02,224820
2015-12-03,224820
2015-12-04,224820
2015-12-05,224820
2015-12-06,224820
2015-12-07,224820
2015-12-08,224820
2015-12-09,224820
2015-12-10,224820
2015-12-11,224820
2015-12-12,224820
2015-12-13,224820
2015-12-14,224820
2015-12-15,224820
2015-12-16,224820
2015-12-17,224820
2015-12-18,224820
2015-12-19,224820
2015-12-20,224820
2015-12-21,224820
2015-12-22,224820
2015-12-23,224820
2015-12-24,224820
2015-12-25,224820
2015-12-26,224820
2015-12-27,224820
2015-12-28,234354
2015-12-29,234354
2015-12-30,234354
2015-12-31,234354
2016-01-01,234354
2016-01-02,234354
2016-01-03,234354
2016-01-04,234354
2016-01-05,234354
2016-01-06,234354
2016-01-07,234354
2016-01-08,234354
2016-01-09,234354
2016-01-10,234354
2016-01-11,234354
2016-01-12,234354
2016-01-13,234354
2016-01-14,234354
2016-01-15,234354
2016-01-16,234354
2016-01-17,234354
2016-01-18,234354
2016-01-19,234354
2016-01-20,234354
2016-01-21,234354
2016-01-22,234354
2016-01-23,234354
2016-01-24,234354
2016-01-25,244280
2016-01-26,244280
2016-01-27,244280
2016-01-28,244280
2016-01-29,244280
2016-01-30,244280
2016-01-31,244280
2016-02-01,244280
2016-02-02,244280
2016-02-03,244280
2016-02-04,244280
2016-02-05,244280
2016-02-06,244280
2016-02-07,244280
2016-02-08,244280
2016-02-09,244280
2016-02-10,244280
2016-02-11,244280
2016-02-12,244280
2016-02-13,244280
2016-02-14,244280
2016-02-15,244280
2016-02-16,244280
2016-02-17,244280
2016-02-18,244280
2016-02-19,244280
2016-02-20,244280
2016-02-21,244280
2016-02-22,244280
2016-02-23,244280
2016-02-24,254807
2016-02-25,254807
