date_obj,Iron%20trimmed%20set%20(sk) price
2015-03-26,900000
2015-03-27,900000
2015-03-28,900000
2015-03-29,900000
2015-03-30,900000
2015-03-31,900000
2015-04-01,900000
2015-04-02,900000
2015-04-03,900000
2015-04-04,900000
2015-04-05,900000
2015-04-06,900000
2015-04-07,900000
2015-04-08,900000
2015-04-09,900000
2015-04-10,900000
2015-04-11,900000
2015-04-12,900000
2015-04-13,900000
2015-04-14,900000
2015-04-15,900000
2015-04-16,900000
2015-04-17,900000
2015-04-18,900000
2015-04-19,900000
2015-04-20,900000
2015-04-21,900000
2015-04-22,900000
2015-04-23,900000
2015-04-24,900000
2015-04-25,900000
2015-04-26,900000
2015-04-27,900000
2015-04-28,900000
2015-04-29,900000
2015-04-30,900000
2015-05-01,900000
2015-05-02,900000
2015-05-03,900000
2015-05-04,900000
2015-05-05,900000
2015-05-06,900000
2015-05-07,900000
2015-05-08,900000
2015-05-09,900000
2015-05-10,900000
2015-05-11,900000
2015-05-12,900000
2015-05-13,900000
2015-05-14,900000
2015-05-15,900000
2015-05-16,900000
2015-05-17,900000
2015-05-18,900000
2015-05-19,900000
2015-05-20,900000
2015-05-21,900000
2015-05-22,900000
2015-05-23,900000
2015-05-24,900000
2015-05-25,900000
2015-05-26,900000
2015-05-27,900000
2015-05-28,900000
2015-05-29,900000
2015-05-30,900000
2015-05-31,900000
2015-06-01,900000
2015-06-02,900000
2015-06-03,900000
2015-06-04,900000
2015-06-05,900000
2015-06-06,900000
2015-06-07,900000
2015-06-08,900000
2015-06-09,900000
2015-06-10,900000
2015-06-11,900000
2015-06-12,900000
2015-06-13,900000
2015-06-14,900000
2015-06-15,900000
2015-06-16,900000
2015-06-17,900000
2015-06-18,900000
2015-06-19,900000
2015-06-20,900000
2015-06-21,896750
2015-06-22,896750
2015-06-23,896750
2015-06-24,896750
2015-06-25,896750
2015-06-26,896750
2015-06-27,896750
2015-06-28,896750
2015-06-29,896750
2015-06-30,896750
2015-07-01,896750
2015-07-02,896750
2015-07-03,896750
2015-07-04,896750
2015-07-05,896750
2015-07-06,896750
2015-07-07,896750
2015-07-08,896750
2015-07-09,896750
2015-07-10,896750
2015-07-11,896750
2015-07-12,896750
2015-07-13,896750
2015-07-14,896750
2015-07-15,896750
2015-07-16,896750
2015-07-17,896750
2015-07-18,896750
2015-07-19,896750
2015-07-20,896750
2015-07-21,896750
2015-07-22,896750
2015-07-23,896750
2015-07-24,896750
2015-07-25,896750
2015-07-26,896750
2015-07-27,896750
2015-07-28,896750
2015-07-29,896750
2015-07-30,896750
2015-07-31,896750
2015-08-01,896750
2015-08-02,896750
2015-08-03,896750
2015-08-04,896750
2015-08-05,896750
2015-08-06,896750
2015-08-07,896750
2015-08-08,896750
2015-08-09,896750
2015-08-10,896750
2015-08-11,896750
2015-08-12,896750
2015-08-13,896750
2015-08-14,896750
2015-08-15,896750
2015-08-16,896750
2015-08-17,896750
2015-08-18,896750
2015-08-19,896750
2015-08-20,896750
2015-08-21,896750
2015-08-22,896750
2015-08-23,896750
2015-08-24,896750
2015-08-25,896750
2015-08-26,896750
2015-08-27,896750
2015-08-28,896750
2015-08-29,896750
2015-08-30,896750
2015-08-31,896750
2015-09-01,896750
2015-09-02,896750
2015-09-03,896750
2015-09-04,896750
2015-09-05,896750
2015-09-06,896750
2015-09-07,896750
2015-09-08,896750
2015-09-09,896750
2015-09-10,896750
2015-09-11,896750
2015-09-12,896750
2015-09-13,896750
2015-09-14,896750
2015-09-15,896750
2015-09-16,896750
2015-09-17,896750
2015-09-18,896750
2015-09-19,896750
2015-09-20,896750
2015-09-21,896750
2015-09-22,896750
2015-09-23,896750
2015-09-24,896750
2015-09-25,896750
2015-09-27,873332
2015-09-28,873332
2015-09-29,873332
2015-09-30,873332
2015-10-05,873332
2015-10-06,873332
2015-10-07,873332
2015-10-08,873332
2015-10-09,873332
2015-10-10,873332
2015-10-11,873332
2015-10-12,873332
2015-10-13,873332
2015-10-14,873332
2015-10-15,873332
2015-10-16,873332
2015-10-17,873332
2015-10-18,873332
2015-10-19,873332
2015-10-20,873332
2015-10-22,873332
2015-10-23,873332
2015-10-24,873332
2015-10-25,873332
2015-10-26,873332
2015-10-27,873332
2015-10-29,873332
2015-10-30,873332
2015-10-31,873332
2015-11-01,873332
2015-11-02,873332
2015-11-03,873332
2015-11-04,873332
2015-11-05,873332
2015-11-06,873332
2015-11-07,873332
2015-11-08,873332
2015-11-09,873332
2015-11-10,873332
2015-11-11,873332
2015-11-12,873332
2015-11-13,873332
2015-11-14,873332
2015-11-15,873332
2015-11-16,873332
2015-11-17,873332
2015-11-18,873332
2015-11-19,873332
2015-11-20,873332
2015-11-21,873332
2015-11-22,873332
2015-11-23,873332
2015-11-24,873332
2015-11-25,873332
